,year,title,copyright,AU,SO
6510,2016,Hierarchical prioritization of innovative treatment systems for sustainable dairy wastewater management, Elsevier Ltd. All rights reserved.,"Aydiner, C|Sen, U|Koseoglu-Imer, DY|Dogan, EC",JOURNAL OF CLEANER PRODUCTION
6511,2013,Approach for the use of MSW settlement predictions in the assessment of landfill capacity based on reliability analysis, Elsevier Ltd. All rights reserved.,"Babu, GLS|Chouksey, SK|Reddy, KR",WASTE MANAGEMENT
6513,2006,Fuzzy-sets approach to noise impact assessment,,"Benetto, E|Dujet, C|Rousseauxl, P",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6519,2003,Sensitivity of plastic strain localization zones to boundary and initial conditions,,"Garstecki, A|Glema, A|Lodygowski, T",COMPUTATIONAL MECHANICS
6523,2006,The multiple disposal facilities and multiple inventory locations rollon-rolloff vehicle routing problem, Elsevier Ltd. All rights reserved.,"Baldacci, R|Bodin, L|Mingozzi, A",COMPUTERS & OPERATIONS RESEARCH
6525,2008,FE model updating using artificial boundary conditions with genetic algorithms, Elsevier Ltd. All rights reserved.,"Tu, ZG|Lu, Y",COMPUTERS & STRUCTURES
6543,2003,Uncertainty analysis points to big CO2 cuts,,,ENVIRONMENTAL SCIENCE & TECHNOLOGY
6546,2011,Social cost-benefit analysis of intensive versus traditional shrimp farming: A case study from India,,"Bhattacharya, P|Ninan, KN",NATURAL RESOURCES FORUM
6549,2014,PROMOTING ENVIRONMENTAL TECHNOLOGY USING SANITARY TAX: THE CASE OF AGRO-FOOD INDUSTRIAL WASTEWATER IN SPAIN,,"Sanchez, IMR|Carra, I|Perez, JAS",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL
6554,2003,"The use of toxic equivalency factor distributions in probabilistic risk assessments for dioxins, furans, and PCBs",,"Finley, BL|Connor, KT|Scott, PK",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A
6558,2000,Aquatic fate assessment of the polycyclic musk fragrance HHCB - Scenario and variability analysis in accordance with the EU risk assessment guidelines, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Schwartz, S|Berding, V|Matthies, M",CHEMOSPHERE
6566,2011,Application of fuzzy logic and sensitivity analysis for soil contamination hazard classification, Elsevier Ltd. All rights reserved.,"Caniani, D|Lioi, DS|Mancini, IM|Masi, S",WASTE MANAGEMENT
6569,2017,Inclusion of uncertainty in the LCA comparison of different cherry tomato production scenarios,,"Romero-Gamez, M|Anton, A|Leyva, R|Suarez-Rey, EM",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6573,2006,Probabilistic risk assessment for personal exposure to carcinogenic polycyclic aromatic hydrocarbons in Taiwanese temples, Elsevier Ltd. All rights reserved.,"Liao, CM|Chiang, KC",CHEMOSPHERE
6600,2017,Coupling sorghum biomass and wheat straw to minimise the environmental impact of bioenergy production, Elsevier Ltd. All rights reserved.,"Serra, P|Giuntoli, J|Agostini, A|Colauzzi, M|Amaducci, S",JOURNAL OF CLEANER PRODUCTION
6609,2008,Genetic local search for multicast routing with pre-processing by logarithmic simulated annealing, Elsevier Ltd. All rights reserved.,"Zahrani, MS|Loomes, MJ|Malcolm, JA|Ullah, AZMD|Steinhofel, K|Albrecht, AA",COMPUTERS & OPERATIONS RESEARCH
6617,2008,Linear stability analysis of time-averaged mow past a cylinder,,"Mittal, S",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
6620,2016,Closing the loop for aluminum cans: Life Cycle Assessment of progression in Cradle-to-Cradle certification levels, Elsevier Ltd. All rights reserved.,"Niero, M|Negrelli, AJ|Hoffmeyer, SB|Olsen, SI|Birkved, M",JOURNAL OF CLEANER PRODUCTION
6626,2017,Life cycle assessment in the furniture industry: the case study of an office cabinet,,"Medeiros, DL|Tavares, AOD|Raposo, ALQRES|Kiperstok, A",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6627,2014,Proposal for a New Approach to Assessing Urban Flood Hazard,,"Sanchez, LA|Martinez-Gonzalez, Y",TECNOLOGIA Y CIENCIAS DEL AGUA
6633,2006,Relationship between VOC and NOx emissions and chemical production of tropospheric ozone in the Aburra Valley (Colombia), Elsevier Ltd. All rights reserved.,"Toro, MV|Cremades, LV|Calbo, J",CHEMOSPHERE
6639,2000,Uncertainty analysis in the field of ambient air and stack emission monitoring,,"Beier, R|Kordecki, R",GEFAHRSTOFFE REINHALTUNG DER LUFT
6650,2017,Advanced exergy and exergoeconomic analyses of a hydrogen liquefaction plant equipped with mixed refrigerant system, Elsevier Ltd. All rights reserved.,"Ansarinasab, H|Mehrpooya, M|Mohammadi, A",JOURNAL OF CLEANER PRODUCTION
6662,2000,Simulation of long-term environmental dynamics of polychlorinated dibenzo-p-dioxins and polychlorinated dibenzofurans using the dynamic multimedia environmental fate model and its implication to the time trend analysis of dioxins, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Suzuki, N|Yasuda, M|Sakurai, T|Nakanishi, J",CHEMOSPHERE
6664,2009,ECONOMIC AND ENVIRONMENTAL SUSTAINABILITY OF PROJECT EFFECTS,,"Horhota, L",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL
6669,2011,Uncertainty Quantification of the Interaction of a Vortex Pair With the Ground,,"Sereno, JL|Pereira, JCF",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
6675,2009,Uncertainty quantification in the damage assessment of a cable-stayed bridge by means of fuzzy numbers, Elsevier Ltd. All rights reserved.,"Degrauwe, D|De Roeck, G|Lombaert, G",COMPUTERS & STRUCTURES
6683,2010,Robust planning in optimization for production system subject to random machine breakdown and failure in rework, Elsevier Ltd. All rights reserved.,"Chiu, SW",COMPUTERS & OPERATIONS RESEARCH
6696,2009,Stochastic Subset Optimization for reliability optimization and sensitivity analysis in system design, Elsevier Ltd. All rights reserved.,"Taflanidis, AA|Beck, JL",COMPUTERS & STRUCTURES
6729,2009,CONTENTS OF SOME TRACE ELEMENTS IN ORGANS OF OLD AND MODERN SPRING CEREALS,,"Kalembasa, D|Bulinska-Radomska, Z|Majchrowska-Safaryan, A|Sobiech-Szczapa, B",FRESENIUS ENVIRONMENTAL BULLETIN
6742,2011,Uncertainty and Sensitivity in the Carbon Footprint of Shopping Bags,,"Mattila, T|Kujanpaa, M|Dahlbo, H|Soukka, R|Myllymaa, T",JOURNAL OF INDUSTRIAL ECOLOGY
6749,2012,Optimal time-consistent investment and reinsurance strategies for insurers under Heston's SV model, (C) 2011 Elsevier B.V. All rights reserved.,"Li, ZF|Zeng, Y|Lai, YZ",INSURANCE MATHEMATICS & ECONOMICS
6755,2013,Shape and topology optimization for tailoring stress in a local region to enhance performance of piezoresistive sensors, Elsevier Ltd. All rights reserved.,"Xia, Q|Shi, TL|Liu, SY|Wang, MY",COMPUTERS & STRUCTURES
6763,2008,Comparative structure-toxicity relationship study of substituted benzenes to Tetrahymena pyriformis using shuffling-adaptive neuro fuzzy inference system and artificial neural networks, Elsevier Ltd. All rights reserved.,"Jalali-Heravi, M|Kyani, A",CHEMOSPHERE
6764,2010,Uncertainties in the application of the species area relationship for characterisation factors of land occupation in life cycle assessment,,"De Schryver, AM|Goedkoop, MJ|Leuven, RSEW|Huijbregts, MAJ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6768,2017,Bi-dimensional knapsack problems with one soft constraint, Elsevier Ltd. All rights reserved.,"Schulze, B|Paquete, L|Klamroth, K|Figueira, JR",COMPUTERS & OPERATIONS RESEARCH
6770,2010,Prior sensitivity in theory testing An apologia for the Bayes factor,,"Vanpaemel, W",JOURNAL OF MATHEMATICAL PSYCHOLOGY
6774,2016,Changes in the ecological properties of organic wastes during their biological treatment, Elsevier Ltd. All rights reserved.,"Kuryntseva, P|Galitskaya, P|Selivanovskaya, S",WASTE MANAGEMENT
6789,2005,Using a probabilistic approach in an ecological risk assessment simulation tool: test case for depleted uranium (DU), Elsevier Ltd. All rights reserved.,"Fan, M|Thongsri, T|Axe, L|Tyson, TA",CHEMOSPHERE
6790,2015,Stochastic response analysis of the scaled boundary finite element method and application to probabilistic fracture mechanics, Elsevier Ltd. All rights reserved.,"Long, XY|Jiang, C|Han, X|Gao, W",COMPUTERS & STRUCTURES
6795,2000,Sensitivity analysis and optimal design of 3D frame structures for stress and frequency constraints, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Sergeyev, O|Mroz, Z",COMPUTERS & STRUCTURES
6800,2012,Life cycle assessment of polychlorinated biphenyl contaminated soil remediation processes,,"Busset, G|Sangely, M|Montrejaud-Vignoles, M|Thannberger, L|Sablayrolles, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6802,2007,"A multimedia environmental model of chemical distribution: Fate, transport, and uncertainty analysis", Elsevier Ltd. All rights reserved.,"Luo, YZ|Yang, XS",CHEMOSPHERE
6812,2017,Extending and Applying Spartan to Perform Temporal Sensitivity Analyses for Predicting Changes in Influential Biological Pathways in Computational Models,,"Alden, K|Timmis, J|Andrews, PS|Veiga-Fernandes, H|Coles, MC",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
6819,2016,Design and planning of a closed-loop supply chain with three way recovery and buy-back offer, Elsevier Ltd. All rights reserved.,"Dutta, P|Das, D|Schultmann, F|Frohling, M",JOURNAL OF CLEANER PRODUCTION
6831,2014,Computing flood risk in areas protected by flood defences,,"Harvey, H|Hall, J|Manning, L",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
6840,2008,Cost sensitivity analysis by Monte Carlo simulation,,"Woinaroschy, A",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL
6844,2012,A model to outsource deteriorating items using two outsourcers with different deteriorating rates and costs,,"Chiao, HE|Wee, HM|Padilan, MV",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING
6850,2010,Biometric worst-case scenarios for multi-state life insurance policies, (C) 2010 Elsevier B.V. All rights reserved.,"Christiansen, MC",INSURANCE MATHEMATICS & ECONOMICS
6855,2017,The relevance of site-specific data in Life Cycle Assessment (LCA). The case of the municipal solid waste management in the metropolitan city of Naples (Italy), Elsevier Ltd. All rights reserved.,"Ripa, M|Fiorentino, G|Vacca, V|Ulgiati, S",JOURNAL OF CLEANER PRODUCTION
6859,2009,Chemicals exposure: Scoring procedure and uncertainty propagation in scenario selection for risk analysis, Elsevier Ltd. All rights reserved.,"Ruggeri, B",CHEMOSPHERE
6864,2005,Model uncertainty - parameter uncertainty versus conceptual models,,"Hojberg, AL|Refsgaard, JC",WATER SCIENCE AND TECHNOLOGY
6866,2013,Heat budget for a waste lift placed under freezing conditions at a landfill operated in a northern climate, Elsevier Ltd. All rights reserved.,"Bonany, JE|Van Geel, PJ|Gunay, HB|Isgor, OB",WASTE MANAGEMENT
6867,2006,Prediction of oxidoreductase-catalyzed reactions based on atomic properties of metabolites,,"Mu, FP|Unkefer, PJ|Unkefer, CJ|Hlavacek, WS",BIOINFORMATICS
6874,2016,Bayesian Solution Uncertainty Quantification for Differential Equations,,"Yoo, WW",BAYESIAN ANALYSIS
6880,2016,Systematic selection of amine mixtures as post-combustion CO2 capture solvent candidates, Elsevier Ltd. All rights reserved.,"Zarogiannis, T|Papadopoulos, AI|Seferlis, P",JOURNAL OF CLEANER PRODUCTION
6889,2011,Exploring the efficiency and effectiveness in global e-retailing companies, Elsevier Ltd. All rights reserved.,"Lu, WM|Hung, SW",COMPUTERS & OPERATIONS RESEARCH
6890,2013,Optimal investment with two-factor uncertainty,,"Armada, MJR|Pereira, PJ|Rodrigues, A",MATHEMATICS AND FINANCIAL ECONOMICS
6892,2012,Uncertainty in environmentally conscious decision making: beer or wine?,,"Mattila, T|Leskinen, P|Soimakallio, S|Sironen, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
6896,2014,"Pharmacokinetic modelling of the anti-malarial drug artesunate and its active metabolite dihydroartemisinin (Reprinted from vol 112, pg 1, 2013)", Published by Elsevier Ireland Ltd. All rights reserved.,"Hall, AJ|Chappell, MJ|Aston, JAD|Ward, SA",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE
6914,2013,Modelling of the initiation and development of tidal creek networks,,"Iwasaki, T|Shimizu, Y|Kimura, I",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING
6921,2000,Effect of inoculation with Azospirillum brasilense on development and yielding of winter wheat and oat under different cultivation conditions,,"Swedrzynska, D",POLISH JOURNAL OF ENVIRONMENTAL STUDIES
6949,2017,Role of renewable energy and non-renewable energy consumption on EKC: Evidence from Pakistan, Elsevier Ltd. All rights reserved.,"Danish|Zhang, B|Wang, B|Wang, ZH",JOURNAL OF CLEANER PRODUCTION
6952,2015,"Lead tolerance mechanism in sterilized seedlings of Potamogeton crispus L.: Subcellular distribution, polyamines and proline", Elsevier Ltd. All rights reserved.,"Qiao, XQ|Zheng, ZZ|Zhang, LF|Wang, JH|Shi, GX|Xu, XY",CHEMOSPHERE
6956,2017,Measuring the unmeasurable: an application of uncertainty quantification to Treasury bond portfolios,,"Chen, JN|Flood, MD|Sowers, RB",QUANTITATIVE FINANCE
6961,2013,Systematic Analysis of the Mechanisms of Virus-Triggered Type I IFN Signaling Pathways through Mathematical Modeling,,"Zhang, W|Zou, XF",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
6967,2011,Cypermethrin induced alterations in nitrogen metabolism in freshwater fishes, Elsevier Ltd. All rights reserved.,"Kumar, A|Sharma, B|Pandey, RS",CHEMOSPHERE
6974,2017,Potential phosphorus mobilization from above-soil winter vegetation assessed from laboratory water extractions following freeze-thaw cycles,,"Lozier, TM|Macrae, ML",CANADIAN WATER RESOURCES JOURNAL
6984,2005,Can we trust the results of meta-analyses? A systematic approach to sensitivity analysis in meta-analyses,,"Elvik, R","STATISTICAL METHODS; HIGHWAY SAFETY DATA, ANALYSIS, AND EVALUATION; OCCUPANT PROTECTION; SYSTEMATIC REVIEWS AND META-ANALYSIS"
6994,2016,Environmental comparison of two alternative road pavement rehabilitation techniques: cold-in-place-recycling versus traditional reconstruction, Elsevier Ltd. All rights reserved.,"Turk, J|Pranjic, AM|Mladenovic, A|Cotic, Z|Jurjavcic, P",JOURNAL OF CLEANER PRODUCTION
7018,2009,Multielemental analysis of macroalgae from the Baltic Sea by ICP-OES to monitor environmental pollution and assess their potential uses,,"Michalak, I|Chojnacka, K",INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY
7022,2017,INTEGRATED FUZZY AHP-CODAS FRAMEWORK FOR MAINTENANCE DECISION IN UREA FERTILIZER INDUSTRY,,"Panchal, D|Chatterjee, P|Shukla, RK|Choudhury, T|Tamosaitiene, J",ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH
7024,2016,Rainfall-runoff modelling of water resources in the upper Senegal River basin,,"Bodian, A|Dezetter, A|Dacosta, H",INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT
7028,2003,Analysis on sensitivity and landscape ecological spatial structure of site resources,,"Li, Z|He, F|Wu, QJ|Tao, W",JOURNAL OF ENVIRONMENTAL SCIENCES
7042,2012,Development of risk-based air quality management strategies under impacts of climate change,,"Liao, KJ|Amar, P|Tagaris, E|Russell, AG",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7054,2016,Optimal production policy for a closed-loop hybrid system with uncertain demand and return under supply disruption, Elsevier Ltd. All rights reserved.,"Giri, BC|Sharma, S",JOURNAL OF CLEANER PRODUCTION
7062,2007,Optimizing a production system with rework and equal sized batch shipments,,"Buscher, U|Lindner, G",COMPUTERS & OPERATIONS RESEARCH
7084,2013,ESTIMATION OF AND INFERENCE ABOUT THE EXPECTED SHORTFALL FOR TIME SERIES WITH INFINITE VARIANCE,,"Linton, O|Xiao, ZJ",ECONOMETRIC THEORY
7085,2016,Ammonia emissions from livestock production in Chile: an inventory and uncertainty analysis,,"Munoz, E|Navia, R|Zaror, C|Alfaro, M",JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION
7086,2009,Identification of dynamical systems with fractional derivative damping models using inverse sensitivity analysis,,"Sivaprasad, R|Venkatesha, S|Manohar, CS",CMC-COMPUTERS MATERIALS & CONTINUA
7090,2008,Multi-parametric sensitivity analysis in piecewise linear fractional programming,,"Kheirfam, B|Mirnia, K",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION
7102,2013,Integrated environmental analysis of the main cork products in southern Europe (Catalonia - Spain), Elsevier Ltd. All rights reserved.,"Rives, J|Fernandez-Rodriguez, I|Rieradevall, J|Gabarrell, X",JOURNAL OF CLEANER PRODUCTION
7104,2014,Experimental and predicted approaches for biomass gasification with enriched air-steam in a fluidised bed,,"Fu, QR|Huang, YJ|Niu, MM|Yang, GQ|Shao, ZW",WASTE MANAGEMENT & RESEARCH
7110,2009,MTBE concentration profiles near MTBE manufacturing plant: Modeling approach and modeling uncertainty, Elsevier Ltd. All rights reserved.,"Chang, KH|Chen, CH",CHEMOSPHERE
7111,2014,Can the Life Cycle Assessment methodology be adopted to support a single farm on its environmental impacts forecast evaluation between conventional and organic production? An Italian case study, Elsevier Ltd. All rights reserved.,"Fedele, A|Mazzi, A|Niero, M|Zuliani, F|Scipioni, A",JOURNAL OF CLEANER PRODUCTION
7113,2017,Sensitivity analysis of spray painting process to input parameters: Validation of CFD jet impingement model against an experimental dataset,,"Moore, B|Nabhani, F|Askari, V",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
7114,2013,"Development and field validation of an indicator to assess the relative mobility and risk of pesticides in the Lourens River catchment, South Africa", Elsevier Ltd. All rights reserved.,"Dabrowski, JM|Balderacchi, M",CHEMOSPHERE
7118,2017,Integrating labor awareness to energy-efficient production scheduling under real-time electricity pricing: An empirical study, Elsevier Ltd. All rights reserved.,"Gong, X|Van der Wee, M|De Pessemier, T|Verbrugge, S|Colle, D|Martens, L|Joseph, W",JOURNAL OF CLEANER PRODUCTION
7124,2013,Development of hybrid genetic-algorithm-based neural networks using regression trees for modeling air quality inside a public transportation bus,,"Kadiyala, A|Kaur, D|Kumar, A",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7130,2007,Comparative life cycle assessment of commonly used refrigerants in commercial refrigeration systems,,"Bovea, MD|Cabello, R|Querol, D",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7141,2002,Possible range of dioxin concentration in human tissues: Simulation with a physiologically based model,,"Maruyama, W|Yoshida, K|Tanaka, T|Nakanishi, J",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A
7146,2016,Transportation decision tool for optimisation of integrated biomass flow with vehicle capacity constraints, Elsevier Ltd. All rights reserved.,"How, BS|Tan, KY|Lam, HL",JOURNAL OF CLEANER PRODUCTION
7154,2011,Uncertainties in the carbon footprint of refined wheat products: a case study on Swedish pasta,,"Roos, E|Sundberg, C|Hansson, PA",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7156,2012,Efficient determination of the k most vital edges for the minimum spanning tree problem, Elsevier Ltd. All rights reserved.,"Bazgan, C|Toubaline, S|Vanderpooten, D",COMPUTERS & OPERATIONS RESEARCH
7162,2012,Life cycle assessment of energy flow and packaging use in food purchasing, Elsevier Ltd. All rights reserved.,"Sanye, E|Oliver-Sola, J|Gasol, CM|Farreny, R|Rieradevall, J|Gabarrell, X",JOURNAL OF CLEANER PRODUCTION
7179,2007,Life cycle assessment of water from the pumping station to the wastewater treatment plant,,"Lassaux, S|Renzoni, R|Germain, A",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7187,2013,"Sustainable consumption, production and infrastructure construction for operating and planning intercity passenger transport systems", Elsevier Ltd. All rights reserved.,"Chiou, YC|Lan, LW|Chang, KL",JOURNAL OF CLEANER PRODUCTION
7205,2017,Stochastic finite element response analysis using random eigenfunction expansion, Elsevier Ltd. All rights reserved.,"Pryse, SE|Adhikari, S",COMPUTERS & STRUCTURES
7215,2012,Comparative uncertainty analysis of energy coefficients in energy analysis of dairy farms from two French territories, Elsevier Ltd. All rights reserved.,"Vigne, M|Martin, O|Faverdin, P|Peyraud, JL",JOURNAL OF CLEANER PRODUCTION
7217,2016,Modelling and sensitivity analysis of urinary platinum excretion in anticancer chemotherapy for the recovery of platinum,,"Folens, K|Mortier, STFC|Baeten, J|Couvreur, K|Michelet, R|Gernaey, KV|De Beer, T|Du Laing, G|Nopens, I",SUSTAINABLE CHEMISTRY AND PHARMACY
7218,2003,An environmental decision-making tool for evaluating ground-level ozone-related health effects,,"Sanhueza, PA|Reed, GD|Davis, WT|Miller, TL",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7224,2017,Life cycle assessment of fish and prawn production: Comparison of monoculture and polyculture freshwater systems in Brazil, Elsevier Ltd. All rights reserved.,"Medeiros, MV|Aubin, J|Camargo, AFM",JOURNAL OF CLEANER PRODUCTION
7231,2003,A real-coded hybrid genetic algorithm to determine optimal resin injection locations in the resin transfer molding process,,"Mathur, R|Advani, SG|Fink, BK",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
7237,2003,Influence measures in contingency table with application in sampling zeros.,,"Wang, SJ",INSURANCE MATHEMATICS & ECONOMICS
7241,2002,Health risk assessment on residents exposed to chlorinated hydrocarbons contaminated in groundwater of a hazardous waste site,,"Lee, LJH|Chan, CC|Chung, CW|Ma, YC|Wang, GS|Wang, JD",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A
7243,2005,Using the W&H integrated uncertainty analysis framework with non-initiated experts,,"von Krauss, MPK|Janssen, PHM",WATER SCIENCE AND TECHNOLOGY
7248,2010,Identification of main influencing factors of life cycle CO2 emissions from the integrated steelworks using sensitivity analysis, Elsevier Ltd. All rights reserved.,"Huang, ZJ|Ding, XA|Sun, H|Liu, SY",JOURNAL OF CLEANER PRODUCTION
7256,2017,Thermodynamic performance of SNG and power coproduction from MSW with recovery of chemical unreacted gas, Elsevier Ltd. All rights reserved.,"Fan, JM|Hong, H|Zhang, L|Li, LL|Jin, HG",WASTE MANAGEMENT
7261,2012,Topology optimization in micromechanical resonator design,,"He, W|Bindel, D|Govindjee, S",OPTIMIZATION AND ENGINEERING
7262,2008,Life cycle cost analysis of fuel ethanol produced from cassava in Thailand,,"Nguyen, TLT|Gheewala, SH|Bonnet, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7266,2002,Electrical Potential Distributions in a Heterogeneous Subsurface in Response to Applied Current: Solution for Circular Inclusions,,"Furman, A|Warrick, AW|Ferre, TPA",VADOSE ZONE JOURNAL
7267,2015,Integrated assessment of environmental impact of Europe in 2010: data sources and extrapolation strategies for calculating normalisation factors,,"Sala, S|Benini, L|Mancini, L|Pant, R",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7278,2017,"Pilot-scale treatment of 1,4-dioxane contaminated waters using 185 nm radiation: Experimental and CFD modeling",,"Bagheri, M|Mohseni, M",JOURNAL OF WATER PROCESS ENGINEERING
7282,2017,Deriving characterization factors on freshwater ecotoxicity of graphene oxide nanomaterial for life cycle impact assessment,,"Deng, YL|Li, JY|Qiu, M|Yang, F|Zhang, JY|Yuan, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7284,2016,A global approach for sparse representation of uncertainty in Life Cycle Assessments of waste management systems,,"Bisinella, V|Conradsen, K|Christensen, TH|Astrup, TF",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7285,2012,Life cycle approach for energy and environmental analysis of biomass and coal co-firing in CHP plant with backpressure turbine, Elsevier Ltd. All rights reserved.,"Zuwala, J",JOURNAL OF CLEANER PRODUCTION
7290,2014,SensA: web-based sensitivity analysis of SBML models,,"Floettmann, M|Uhlendorf, J|Scharp, T|Klipp, E|Spiesser, TW",BIOINFORMATICS
7299,2017,End-of-Life in the railway sector: Analysis of recyclability and recoverability for different vehicle case studies, Elsevier Ltd. All rights reserved.,"Delogu, M|Del Pero, F|Berzi, L|Pierini, M|Bonaffini, D",WASTE MANAGEMENT
7300,2012,Multiparameter Spectral Representation of Noise-Induced Competence in Bacillus Subtilis,,"Sargsyan, K|Safta, C|Debusschere, B|Najm, H",IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS
7304,2015,Impact of maintenance on life cycle impact and cost assessment for residential flooring options,,"Minne, E|Crittenden, JC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
7307,2013,Sensitivities of options via Malliavin calculus: applications to markets of exponential Variance Gamma and Normal Inverse Gaussian processes,,"Bayazit, D|Nolder, CA",QUANTITATIVE FINANCE
7327,2013,Environmental feasibility of partial substitution of gasoline with ethanol in the Province of Siena (Italy), Elsevier Ltd. All rights reserved.,"Patrizi, N|Caro, D|Pulselli, FM|Bjerre, AB|Bastianoni, S",JOURNAL OF CLEANER PRODUCTION
7331,2009,A Green-function-based multiscale method for uncertainty quantification of finite body random heterogeneous materials, Elsevier Ltd. All rights reserved.,"Xu, XF|Chen, X|Shen, LH",COMPUTERS & STRUCTURES
7335,2006,"Biochemical alterations in euryhaline fish, Oreochromis mossambicus exposed to sub-lethal concentrations of an organophosphorus insecticide, monocrotophos", Elsevier Ltd. All rights reserved.,"Rao, JV",CHEMOSPHERE
7338,2011,Product modular design incorporating life cycle issues - Group Genetic Algorithm (GGA) based method, Elsevier Ltd. All rights reserved.,"Yu, SR|Yang, QY|Tao, J|Tian, X|Yin, FF",JOURNAL OF CLEANER PRODUCTION
7349,2017,Analysis of combinations of glazing properties to improve economic efficiency of buildings, Elsevier Ltd. All rights reserved.,"Lee, C|Won, J",JOURNAL OF CLEANER PRODUCTION
7355,2009,"Life-cycle assessment of the municipal solid waste management system in Hangzhou, China (EASEWASTE)",,"Zhao, Y|Wang, HT|Lu, WJ|Damgaard, A|Christensen, TH",WASTE MANAGEMENT & RESEARCH
7356,2011,Incident Duration Prediction Based on Latent Gaussian Naive Bayesian classifier,,"Li, DW|Cheng, L|Ma, JS",INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS
7357,2002,Envelope theorems for arbitrary choice sets,,"Milgrom, P|Segal, I",ECONOMETRICA
7359,2014,Life cycle assessment of a packaged tomato puree: a comparison of environmental impacts produced by different life cycle phases, Elsevier Ltd. All rights reserved.,"Manfredi, M|Vignali, G",JOURNAL OF CLEANER PRODUCTION
7364,2015,Multi-pathway assessment of human health risk posed by polycyclic aromatic hydrocarbons,,"Qu, CS|Li, B|Wu, HS|Wang, S|Giesy, JP",ENVIRONMENTAL GEOCHEMISTRY AND HEALTH
7380,2006,On the solution of a minimum compliance topology optimisation problem by optimality criteria without a priori volume constraint specification,,"Chiandussi, G",COMPUTATIONAL MECHANICS
7390,2011,Relative information contributions of model vs. data to short- and long-term forecasts of forest carbon dynamics,,"Weng, ES|Luo, YQ",ECOLOGICAL APPLICATIONS
7394,2010,"Using Backup Generators for Meeting Peak Electricity Demand: A Sensitivity Analysis on Emission Controls, Location, and Health Endpoints",,"Gilmore, EA|Adams, PJ|Lave, LB",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
7401,2017,Improvements in the decision making for Cleaner Production by data mining: Case study of vanadium extraction industry using weak acid leaching process, Elsevier Ltd. All rights reserved.,"Li, J|Zhang, YM|Du, DY|Liu, ZY",JOURNAL OF CLEANER PRODUCTION
7406,2001,Comparative study of artificial neural networks and multiple regression analysis for predicting hoisting times of tower cranes, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Leung, AWT|Tam, CM|Liu, DK",BUILDING AND ENVIRONMENT
