relevant,DOI,title,1,2,3,4,5
No (not related to environment),10.1007/s00477-013-0845-4,Risk and uncertainty analysis of gas pipeline failure and gas combustion consequence (2014),The performed probabilistic analysis enables to investigate uncertainty and failure rates of pipelines when age-dependence is significant and when it is not relevant.,"The related work includes performance of the following tasks: to study gas pipeline combustion model, to identify uncertainty of model inputs noting their variation range, and to apply uncertainty and sensitivity analysis for results of this model.",The measures of uncertainty and sensitivity analysis were estimated and outcomes presented applying software system for uncertainty and sensitivity analysis.,As outcome of uncertainty analysis the tolerance limits and distribution function of thermal radiation intensity are given.,The rupture of a high-pressure natural gas pipeline can lead to consequences that can pose a significant threat to people and property in the close vicinity to the pipeline fault location.
No (not related to environment),10.1061/(ASCE)HY.1943-7900.0001249,Monte Carlo Approach for Uncertainty Analysis of Acoustic Doppler Current Profiler Discharge Measurement by Moving Boat (2017),"To a lesser extent, spatial inhomogeneity in the bottom depth also contributed to the total uncertainty, as did uncertainty in the ADCP draft at shallow sites.","The main contributor to uncertainty was invalid data, but spatial inhomogeneity in water velocity and bottom-track velocity also contributed, as did variation in the edge velocity, uncertainty in the edge distances, edge coefficients, and the top and bottom extrapolation methods.",The results demonstrate the importance of a Monte Carlo method tool such as QUant for quantifying random and bias errors when evaluating the uncertainty of moving-boat ADCP measurements.,"They also provide quantitative feedback to the ADCP operators about the quality of their measurements, indicating which parameters are contributing most to uncertainty, and perhaps even highlighting ways in which uncertainty can be reduced.","As anticipated, it was found that the estimated uncertainty is dominated by uncertainty of the discharge in the unmeasured areas, highlighting the importance of appropriate selection of the site, the instrument, and the user inputs required to estimate the unmeasured discharge."
Yes,10.1016/j.compag.2005.10.004,Discrete element representation of manure products (2006),A sensitivity analysis was performed to study the influence of parameters defining the linear and Hertz-Mindlin contact constitutive models.,A procedure was also developed to create clusters of particles randomly oriented and located within the modeled domain.,The work reported herein was aimed at determining the properties of the virtual product that would allow mimicking the behaviour of manure in the DEM software PFCD.,The results showed that numerous parameters have an influence on the behaviour of the virtual product in the direct shear test.,"The results generated by this procedure in terms of granulometry of the assembly of particles were very close to the user specifications with errors on the number of particles and on their size averaging .% and .%, respectively."
Yes - custom,10.1080/00221686.2016.1140682,A probabilistic projection of the transient flow equations with random system parameters and internal boundary conditions (2016),This paper presents a novel probabilistic approach based on the polynomial chaos expansion that can model the uncertainty propagation from the beginning of a waterhammer simulation and not as an afterthought.,"With further developments, this probabilistic approach can be integrated within existing network modelling software for practical hydraulic engineering problems.",The polynomial chaos approach is further extended to solve for randomness in frequency domain using the transfer matrix method with results of comparable accuracy.,The polynomial chaos expansion solver results are in an excellent agreement with those calculated by using a model employing the traditional method of characteristics.,
No,10.1016/j.envsoft.2016.03.015,SEVIRI PrePro: A novel software tool for the pre-processing of SEVIRI geostationary orbit EO data products (2016),"Herein, an open access stand-alone software product developed in Java programming language is presented for automating key pre-processing steps to all the SEVIRI operationally distributed products.","The development of SEVIRI PrePro is of significant importance to the SEVIRI users' community and is also very timely given that, to our knowledge, no similar software tool is freely distributed at present.","The software tool, named Seviri PrePro, makes use of present day multi-core processors and is able to process very large datasets in a short time period, making it appropriate as well for use in a High Performance Computing (HPC) environment.",The practical usefulness of the toolkit is also demonstrated herein using as a case study the SEVIRI evapotranspiration (ET) product.,From the sensor a series of operational products are also provided to the user's community at no cost via EUMETSAT or LSA SAF portals.
Yes - GRIP,10.1890/07-1306.1,Sensitivity of population viability to spatial and nonspatial parameters using grip (2008),We evaluated GRIP's performance as a tool for sensitivity analysis of spatial PVAs and explored the consequences of varying spatial input parameters for predictions of a published PVA model of the sand lizard (Lacerta agilis).,"We provide annotated code so that GRIP may be modified to reflect particular species biology, customized for more complex spatial PVA models, upgraded to incorporate features added in newer versions of RAMAS Metapop, used as a template to develop similar programs, or used as it is for computationally efficient sensitivity analyses in support of conservation planning.","Sensitivity analyses of population viability analysis (PVA) models can help measure relative parameter influences on predictions, identify research priorities for reducing uncertainty, and evaluate management strategies.",We used GRIP output to generate standardized regression coefficients (SRCs) and nonparametric correlation coefficients as indices of the relative sensitivity of predicted conservation status to input parameters.,"We developed GRIP, a program to facilitate sensitivity analysis of spatial and nonspatial input parameters for PVAs created in RAMAS Metapop, a widely applied software program."
Yes,10.1016/j.pce.2009.03.002,Using a Monte Carlo approach to evaluate seawater intrusion in the Oristano coastal aquifer: A case study from the AQUAGRID collaborative computing platform (2009),"in this study a stochastic approach has been employed to model hydraulic conductivity of a confining formation in a multi-layered coastal aquifer system, under conditions of uncertainty.",Stochastic modeling may help provide uncertainty quantification and also add robustness to the analysis by means of probabilistic forecasts.,"A Monte Carlo simulation, based on a coupled flow and transport groundwater D model, has been carried out to propagate the hydraulic conductivity parameter uncertainty to groundwater model outputs, namely pressure head and salt concentration.","The application workflow, based on the integration of both in-house developed and public domain software tools with hydrogeological data, has been deployed on a problem solving Grid platform (http://grida.crs.it).",Such analysis enables to take better decisions about the management of the groundwater resource and to make additional field investigations consistent with environmental protection.
Yes - TAMkin,10.1021/ci100099g,TAMkin: A Versatile Package for Vibrational Analysis and Chemical Kinetics (2010),"At present, the output from the frequently applied software programs ADF, CHARMM, CPMD, CPK, Gaussian, Q-Chem, and VASP can be analyzed.","A sensitivity analysis can also be performed, providing important insight into the theoretical error margins on the kinetic parameters.","TAMkin is a program for the calculation and analysis of normal modes, thermochemical properties and chemical reaction rates.",,
?,10.1007/s00267-010-9520-4,Sensitivity Analysis of Land Unit Suitability for Conservation Using a Knowledge-Based System (2010),We constructed two fuzzy logic-based knowledge bases to determine the conservation suitability of land units in the interior Columbia River basin using NetWeaver software in the Ecosystem Management Decision Support application framework.,"Our objective was to assess the sensitivity of suitability ratings, derived from evaluating the knowledge bases, to fuzzy logic function parameters and to the removal of data layers (land use condition, road density, disturbance regime change index, vegetation change index, land unit size, cover type size, and cover type change index).",The sensitivity tests provided information about knowledge base structuring and parameterization as well as prioritization for future data needs.,The availability of spatially continuous data layers can have a strong impact on selection of land units for conservation purposes.,The suitability of ecological conditions for sustaining the targets of conservation is an important consideration in evaluating candidate conservation sites.
No,10.1016/j.buildenv.2014.06.009,Natural ventilation design: An analysis of predicted and measured performance (2014),This process highlighted significant limitations in the EnergyPlus software's models of occupant-driven window control.,We performed uncertainty and sensitivity analyses to determine which design parameters have most impact on the uncertainty associated with ventilation performance predictions.,The improved model's natural ventilation performance predictions were significantly more accurate than those of the first draft early-stage-design model that employed model assumptions typical during initial design.,"We conclude with recommendations on key design parameters including window control, wind pressure coefficients and weather data resolution to help improve early-design-stage predictions of natural ventilation performance using EnergyPlus.",
No (not related to environment),10.2166/wst.2008.149,Development of a open-vessel single-stage respirometer (2008),"Its operation is supervised by a real-time software, written in Lab View, managing the various measurement procedures and estimating the wastewater characteristics.","Its accuracy is assessed through sensitivity and error propagation analysis, proving superior to the conventional model.","It is based on an accurate model of parasitic aeration, making the two-stage assumption unnecessary.",,
Yes - TIDES,10.1016/j.mcm.2011.06.036,Uncertainty propagation or box propagation (2011),This paper discusses the use of recently developed techniques and software in the numerical propagation of uncertainties in initial coordinates and/or parameters for initial value problems.,These techniques are implemented in the recent free-software TIDES.,The classical two-body and Lorenz problems are chosen as examples to show the benefits of the approach.,We present an approach based on several validated numerical integration techniques but focusing on the propagation of boxes.,
Yes - GUM,10.1080/02626667.2012.675064,Standardized uncertainty analysis for hydrometry: a review of relevant approaches and implementation examples (2012),This paper reviews some of the most relevant efforts and subsequently demonstrates that the Guide to the expression of uncertainty in measurement (GUM) is a good candidate for estimation of uncertainty intervals for hydrometry.,"The results show that hydrological measurements would benefit from the adoption of the GUM as the working standard, because of its soundness, the availability of software for practical implementation and potential for extending the GUM to hydrological/hydraulic numerical simulations.","The water-centric community has continuously made efforts to identify, assess and implement rigorous uncertainty analyses for routine hydrological measurements.",The demonstration is made by implementing the GUM to typical hydrometric applications and comparing the analysis results with those obtained using the Monte Carlo method.,
Yes - custom,10.1016/j.envsoft.2014.02.001,Environmental impact assessment based on dynamic fuzzy simulation (2014),The quick scan approach is supported by an interactive simulation tool that includes optimization and uncertainty analysis as open source software.,"A new ""quick scan"" method for an expert-/stakeholder-based impact assessment approach is introduced.",This open modeling process also forms the basis of the credibility of the simulation results.,,
Yes,10.1051/lhb:2007025,Evaluation of urban stormwater quality models (2007),The use of urban stormwater quality models necessitates the estimation of their outputs uncertainty level.,The results of the application of a Monte Carlo Markov Chain method based on the Bayesian theory for the calibration and uncertainty analysis of a storm water quality model commonly used in available software are presented in this paper.,"The tested model estimates the accumulation, erosion and transport of pollutants on surfaces and in sewers using a hydrologic/hydrodynamic scheme.",The model was calibrated for  different initial conditions of in-sewer deposits.,Calibration results showed a large variability in the model outputs in function of the initial conditions and demonstrated that the tested model predictive capacity is very low.
No (not related to environment),10.1093/prd/nci187,Comparison of deterministic and Monte Carlo methods in shielding design (2005),"Point and cylindrical sources with slab shield have been defined allowing comparison between the capability of both Monte Carlo and deterministic methods in a day-by-day shielding calculation using sensitivity analysis of significant parameters, such as energy and geometrical conditions.",Commercial software MicroShield .,"The aim of this work is to investigate how good are some deterministic methods to calculating low-energy shielding, using attenuation coefficients and build-up factor corrections.","In shielding calculation, deterministic methods have some advantages and also some disadvantages relative to other kind of codes, such as Monte Carlo.","The main advantage is the short computer time needed to find solutions while the disadvantages are related to the often-used build-up factor that is extrapolated from high to low energies or with unknown geometrical conditions, which can lead to significant errors in shielding results."
Yes - custom,10.1016/j.advengsoft.2016.06.005,A software framework for probabilistic sensitivity analysis for computationally expensive models (2016),We provide a sensitivity analysis toolbox consisting of a set of Matlab functions that offer utilities for quantifying the influence of uncertain input parameters on uncertain model outputs.,"The toolbox for uncertainty and sensitivity analysis methods consists of three ingredients: () sampling method, () surrogate models, () sensitivity analysis (SA) method.",,,
Yes,10.1016/j.watres.2012.02.009,Comparison of different uncertainty techniques in urban stormwater quantity and quality modelling (2012),A part of that work is the assessment and comparison of different techniques generally used in the uncertainty assessment of the parameters of water models.,"The quantification of the uncertainty associated with the models is a must, although it is rarely practiced.","To allow a meaningful comparison among the different uncertainty techniques, common criteria have been set for the likelihood formulation, defining the number of simulations, and the measure of uncertainty bounds.","All non-Bayesian methods have problems with the way they accept behavioural parameter sets, e.g.","Moreover, all the uncertainty techniques were implemented for the same case study, in which the same stormwater quantity and quality model was used alongside the same dataset."
No (not related to environment),10.1016/j.cie.2009.05.001,"Optimal testing resource allocation during module testing considering cost, testing effort and reliability (2009)","During software testing, software reliability growth models (SRGMs) are commonly used to describe the phenomenon of failure occurrence and/or fault removal which consequently enhancements software reliability.",Software reliability is one of the most important quality attributes of commercial software.,"Large software systems are developed by integrating a number of relatively small and independent modules, which are tested independently during module testing phase.","In this paper we formulate a resource allocation problem of minimizing the cost of software testing under available amount of testing resource, given a reliability constraint.","We use a flexible SRGM considering testing effort which, depending upon the values of parameters, can describe either exponential or S-shaped failure pattern of software modules."
Yes,10.1016/j.ecoleng.2014.09.069,Effect of bacteria density and accumulated inert solids on the effluent pollutant concentrations predicted by the constructed wetlands model BIO_PORE (2015),"Results of the sensitivity analysis showed that the value of M-cap has a dramatic effect on the simulated effluent concentrations of COD and ammonia nitrogen, which clearly decreased for increasing values of this parameter.","This model was built in the COMSOL Multiphysics (TM) software and implements the biokinetic expressions of Constructed Wetlands Model  (CWM) to describe the fate and transport of organic matter, nitrogen and sulphur in horizontal subsurface-flow constructed wetlands.","Results of the mesh optimization procedure indicated that among the  tested meshes of different element size, the mesh utilized for this model in previous studies represented a fair compromise between output accuracy and computation time.",The aim of the current work was to determine the effect of these two parameters on the effluent pollutant concentrations predicted by the model.,"In previous studies, CWM was extended with the inclusion of two empirical parameters (M-bio_max and M-cap) that proved to be essential to provide realistic bacteria growth rates and dynamics."
No,10.1016/j.ecoser.2016.05.003,"Synergies between biodiversity conservation and ecosystem service provision: Lessons on integrated ecosystem service valuation from a Himalayan protected area, Nepal (2016)","We conclude that: () simplified cost-benefit analysis between alternative states can be usefully employed to determine the ecosystem service consequences of land-use change, but monetary benefits should be subject to additional sensitivity analysis; () both biophysical indicators and monetary values can be standardised using rose plots, to illustrate the magnitude of synergies and trade-offs among the services; and () continued biodiversity protection measures can preserve carbon stock, although the benefit of doing so remains virtual unless an effective governance option is established to realise the monetary values.",The Toolkit for Ecosystem Service Site-based Assessment (TESSA) was used to compare ecosystem services between two alternative states of the site (protection or lack of protection with consequent changed land use) to estimate the net consequences of protection.,"We estimated that lack of protection would have substantially reduced the annual ecosystem service flow, including a % reduction in the value of greenhouse gas sequestration, % reduction in carbon storage, % reduction in nature-based recreation, and % reduction in water quality.",,
Yes,10.1016/j.watres.2008.10.027,The effect of field conditions on low Reynolds number flow in a wetland (2009),"A sensitivity analysis of the dead zone term shows that the laboratory, field and diffusion models lie within an acceptable theoretical range for the observed or predicted diffusion coefficient.","The present study examines the effect of field conditions on diffusion in a laminar flow field and verifies the diffusion model created by Nepf, H.M. [.",Effects of emergent vegetation on lateral diffusion in wetland.,A model for diffusion within emergent vegetation.,"Drag, turbulence, and diffusion in flow through emergent vegetation."
Yes,10.1007/s12665-017-6389-z,ODM: an analytical solution-based tool for reacting oxygen diffusion modelling in mine spoils (2017),Results of several simulation scenarios of sensitivity analysis showed a significant change in oxygen concentration with varying effective diffusion coefficient of oxygen transport model and simulation time.,"Based on this analytical solution, a graphical user interface (GUI) tool is programmed and designed in MATLAB software.",A simple one-dimensional analytical solution is presented to model oxygen diffusion through the pore space of mine spoils containing pyrite.,This tool can be used to model transport of oxygen through the mine spoils either with or without a cap.,Efficiency and flexibility of the tool developed here is verified by modelling oxygen transport through the pore space of a coal waste pile (case A) and a copper mine tailings (case B).
No,10.1016/j.watres.2012.05.006,Sensitivity analysis of some critical factors affecting simulated intrusion volumes during a low pressure transient event in a full-scale water distribution system (2012),The simulations were conducted using commercially available transient analysis software.,"When intrusion through both pathways occurs concurrently, interactions between the intrusion flows through leakage orifices and submerged AVVs influence intrusion volumes.","Sensitivity analyses of both designs revealed that the relationship between the total intrusion volume and the four contributing factors is not monotonic, with the AVVs' orifice head being the most influential factor.",Leakage orifices' head and AVVs' orifice head levels were assessed through fieldwork.,"When only intrusion through leakage orifices is considered, the total intrusion volume is more largely influenced by the leakage rate than by the leakage orifices' head."
?,10.1016/j.simpat.2017.09.003,Simulation of a workflow execution as a real Cloud by adding noise (2017),"Since our approach requires collecting data by executing the workflow in the Cloud in order to learn its behavior, we conduct a comprehensive sensitivity analysis.","Additionally, in order to reduce the number of experiments and determine the dependency of our model against Cloud resource and workflow parameters, the conducted comprehensive sensitivity analysis shows that the correctness of our model is independent of workflow parallel section size.","With our sensitivity anal- ysis, we show that we can reduce the inaccuracy of the naive approach with only % of total number of executions per experiment in the learning phase.","In our case,  executions per experiment instead of , and only half of all experiments, which means down to %, i.e.","However, the ideal simulated environment produces the same output for the same workflow schedule and input parameters and thus can not reproduce the Cloud variant behavior."
Yes - Chaospy,10.1016/j.jocs.2015.08.008,Chaospy: An open source tool for designing methods of uncertainty quantification (2015),"The paper compares Chaospy to similar packages and demonstrates a stronger focus on defining reusable software building blocks that can easily be assembled to construct new, tailored algorithms for uncertainty quantification.","The paper describes the philosophy, design, functionality, and usage of the Python software toolbox Chaospy for performing uncertainty quantification via polynomial chaos expansions and Monte Carlo simulation.","For example, a Chaospy user can in a few lines of high-level computer code define custom distributions, polynomials, integration rules, sampling schemes, and statistical metrics for uncertainty analysis.","In addition, the software introduces some novel methodological advances, like a framework for computing Rosenblatt transformations and a new approach for creating polynomial chaos expansions with dependent stochastic variables.",(C)  The Authors.
Yes - R,10.1016/j.envsoft.2013.01.004,A model-independent Particle Swarm Optimisation software for model calibration (2013),"This work presents and illustrates the application of hydroPSO, a novel multi-OS and model-independent R package used for model calibration.","Although we limit the application of hydroPSO to hydrological models, flexibility of the package suggests it can be implemented in a wider range of models requiring some form of parameter optimisation.",hydroPSO implements several state-of-the-art enhancements and fine-tuning options to the Particle Swarm Optimisation (PSO) algorithm to meet specific user needs.,"hydroPSO allows the modeller to perform a standard modelling work flow including, sensitivity analysis, parameter calibration, and assessment of the calibration results, using a single piece of software.","We further illustrate the application of hydroPSO in two real-world case studies: we calibrate, first, a hydrological model for the Ega River Basin (Spain) and, second, a groundwater flow model for the Pampa del Tamarugal Aquifer (Chile)."
Yes - BAT,10.1016/j.cpc.2009.06.026,BAT - The Bayesian analysis toolkit (2009),We describe the development of a new toolkit for data analysis.,"The analysis package is based on Bayes' Theorem, and is realized with the use of Markov Chain Monte Carlo.","Parameter estimation, limit setting and uncertainty propagation are implemented in a straightforward manner.",This gives access to the full posterior probability distribution.,
?,10.1111/j.1523-1739.2006.00560.x,Uncertainty analysis for regional-scale reserve selection (2006),"Our proposed method seeks a solution that is robust in achieving a given conservation target, despite uncertainty in the data.","Because distribution discounting can be implemented as a modification of input files, it is a computationally efficient solution for implementing uncertainty analysis into reserve selection.",Methods for reserve selection and conservation planning often ignore uncertainty.,"For example, presence-absence observations and predictions of habitat models are used as inputs but commonly assumed to be without error We applied information-gap decision theory to develop uncertainty analysis methods for reserve selection.","The distribution discounting method can be easily adapted for use with different kinds of data (e.g., probability of occurrence or abundance) and different landscape descriptions (grid or patch based) and incorporated into other reserve-selection algorithms and software."
Yes - DMMAP,10.1016/j.resconrec.2012.01.011,An environmental and economic analysis for geotube coastal structures retaining dredge material (2012),This paper investigates the environmental and economic sensitivity of coastal structures for two different construction methods: a traditional rubble mound structure and a geotube coastal structure using dredged material.,An economic sensitivity analysis is undertaken on the key logistical parameters involved in the construction of these coastal structures.,An environmental sensitivity analysis focuses on the CO emissions produced from the construction of the coastal structures for both construction methods.,"These sensitivity analyses are undertaken using a decision support software program (DMMAP), developed to assist users at the planning stages of a project to achieve sustainable dredge material management.",() on the economic aspects of geotube technology and identifies the optimum method of construction for each type of coastal structure.
No,10.1111/j.1523-1739.2007.00833.x,Conservation planning in forest landscapes of Fennoscandia and an approach to the challenge of Countdown 2010 (2007),We used current data on the distribution of  species (including  red-listed species) representing different forest habitats and ecologies along with forest data within the frame of modern conservation software to devise a map of priority areas for conservation.,Fennoscandia has experienced major loss of forest biodiversity caused by intensive forestry.,"To address the challenge of Countdown , a general framework for forest conservation planning in Fennoscandia needs to cover different conservation issues, tools, and data needs.","The top % of priority areas contained over % of red-listed species locations and % of existing protected forest areas, but only % of these top priorities overlapped with core areas identified previously in a regional strategy that used more qualitative methods.",Effective management of biodiversity in production landscapes requires a conservation approach that acknowledges the complexity of ecological and cultural systems in time and space.
Yes,10.1002/jnm.2025,Stability analysis of rotary power flow controller (2015),"Effects of system parameters such as resistance, reactance, and phase difference of the shunt and series transformers and RPSTs on stability are investigated using eigenvalue sensitivity analysis.",Simulation results using PSCAD/EMTDC software and analytical results based on eigenvalue analysis are presented to evaluate effects of different parameters on stability of RPFC.,"In this paper, a linear model is developed for RPFC in the dq-reference frame.",This device comprises a shunt and a series transformer and two RPSTs.,This paper deals with the stability analysis of a rotary power flow controller (RPFC).
No,10.1016/j.compchemeng.2017.05.028,Multi-scale equation of state computations for confined fluids (2017),"The sensitivity of the mixture energy parameter, a(M), for the Gibbs-Helmholtz constrained (GHC) equation, confined fluid molar volume, V-M, and bubble point pressure are studied as a function of uncertainty in U-M(D).","Canonical (NVT) Monte Carlo simulations are used to determine internal energies of departure of pure fluids using the RASPA software system (Dubbeldam et al., ).",Results show that the sensitivity of confined fluid molar volume to % uncertainty in U-M(D) is less than % and that the GHC equation predicts physically meaningful reductions in bubble point pressure for light tight oils.,"() is used to determine internal energies of departure for mixtures, U-M(D), in confined spaces and compared to U-M(D) from direct NVT Monte Carlo simulation.",
?,10.1111/j.1523-1739.2005.00276.x,Utility of dynamic-landscape metapopulation models for sustainable forest management (2005),We wrote new software to bell) quantify the contribution of landscape stochasticity to model prediction uncertainty.,Primary concerns about the method are the practical difficulties associated with incorporating fire stochasticity in prediction uncertainty and the number of model assumptions that must be made and tested with sensitivity analysis.,"For the modeling we used RAMAS Landscape, a software package that integrates RAMAS GIS, population-modeling software, and LANDIS, forest-dynamics modeling software.",We used the Brown Creeper (Certhia americana) in the boreal forests of northern Ontario as a case study.,We predicted the response of The Brown Creeper metapopulation over a -year period and used future population size and expected minimum population size to compare the sustainability of the various management scenarios.
No,10.1016/j.cie.2010.04.002,Simulation model for extended double-ended queueing (2010),"Using this new procedure, sensitivity analyses of performance measures were performed using various input conditions implemented using ProModel and SimRumnner simulation software.","In some cases bulk arrivals may come at the same time, and pairing is not always guaranteed.",Inter-arrival time may follow distributions other than exponential.,The purpose of this paper is to extend traditional double-ended queuing models using a simulation approach.,"Inter-arrival time is assumed to follow an exponential distribution, with arrivals to the system assumed to occur just one at a time."
Yes - HSPF,10.1061/(ASCE)HE.1943-5584.0000457,Effect of Temporal and Spatial Rainfall Resolution on HSPF Predictive Performance and Parameter Estimation (2012),when a spatially averaged network of four rain gauges was used.,This study evaluated the effect of temporal and spatial rainfall resolution on the predictive performance of Hydrological Simulation Program-Fortran (HSPF) using manual and automatic calibration procedures.,"Furthermore, the effect of automatic parameter estimation on the physical significance of calibrated parameter values was evaluated.","when individual rain gauges (RG, RG, RG, and RG) were used one at a time.",Model efficiency improved and ranged from .
?,10.1016/j.scitotenv.2004.03.039,Radionuclide migration modeling through the soil-plant system as adapted for Hungarian environment (2004),The migration of radionuclides released as fallout through the food-chain to humans was modelled using the MODELMAKER software.,A sensitivity analysis of the input parameters was also carried out and the parameters were categorized by their sensitivity index (SI).,"In the established dynamic environmental transfer model ETM- with compartmental structure, the principal pathways of vegetable contamination were studied specifically for the Hungarian environment.",As result of the modeling the variation of activity-concentration with time was obtained in the compartments.,
Yes - SAFE,10.1016/j.envsoft.2015.04.009,A Matlab toolbox for Global Sensitivity Analysis (2015),All methods implemented in SAFE support the assessment of the robustness and convergence of sensitivity indices.,"Here we present a Matlab/Octave toolbox for the application of GSA, called SAFE (Sensitivity Analysis For Everybody).","The toolbox is designed to make GSA accessible to non-specialist users, and to provide a fully commented code for more experienced users to complement their own tools.",The documentation includes a set of workflow scripts with practical guidelines on how to apply GSA and how to use the toolbox.,"Furthermore, SAFE includes numerous visualisation tools for the effective investigation and communication of GSA results."
No (not related to environment),10.1093/rpd/ncm361,Estimating uncertainty on internal dose assessments (2007),() Estimating the error or uncertainty on dose assessments made from single measurements.,() Estimating the uncertainty on prospective doses.,"Here, Bayesian inference methods must be used to estimate the uncertainty on the estimated dose.",The estimation of uncertainty on doses broadly falls into three categories.,A computer code is being developed that performs all three types of uncertainty analysis using Monte Carlo simulation.
yes - ALEA,10.1016/j.cma.2013.11.015,Adaptive stochastic Galerkin FEM (2014),"Details on the implementation with the open-source software framework ALEA are presented; it is generic, and is based on available stiffness and mass matrices of a FEM for the deterministic, nonparametric nominal problem evaluated in the FEniCS environment.",Numerical experiments in two spatial dimensions for membrane and plane stress boundary value problems on polygons are presented.,"Asynchronous mesh adaptation for different gpc coefficients is permitted, subject to a minimal compatibility requirement on meshes used for different gpc coefficients.",The reliability of the residual estimator is established.,A framework for residual-based a posteriori error estimation and adaptive mesh refinement and polynomial chaos expansion for general second order linear elliptic PDEs with random coefficients is presented.
Yes - ARRAMIS,10.1080/714044368,Uncertainty analysis of hydrologic and water quality predictions for a small watershed using SWAT2000 (2003),"The uncertainty in predicted stream flow and sediment loading is large, but that for nutrient loadings is the same as that of the corresponding input parameters.","In this study, ARRAMIS (Advanced Risk & Reliability Assessment Model) software package was used to analyze the uncertainty of the SWAT (Soil and Water Assessment Tool) outputs concerning nutrients and sediment losses from agricultural lands.",Results indicate that consideration of input parameter uncertainty produces % less mean stream flow along with approximately .% larger sediment loading than obtained using mean input parameters.,"It has been recognized that such models may have a large degree of uncertainty associated with their predictions, and that this uncertainty can significantly impact the utility of the model.",Probability distribution functions (pdfs) for each of the  model simulations were constructed from these results.
?,10.1007/s13344-017-0044-z,Investigation on the effect of geometrical and geotechnical parameters on elongated offshore piles using fuzzy inference systems (2017),The resultant data of the sensitivity analysis suggested that the orientation degree is the main factor in the pile's geometrical behavior because piles which had the optimal operational degree of about A degrees are more sustained.,"In this study, ANSYS was used as the FE modeling software to study the geometrical and geotechnical properties of the offshore piles and their effects on supporting jacket platforms.","Finally, the results showed that the related fuzzified data supported the FE model and provided an insight for extended offshore pile designs.",The resulting data were implemented to create Fuzzy Inference System (FIS) classifications.,"Among numerous offshore structures used in oil extraction, jacket platforms are still the most favorable ones in shallow waters."
Yes - PSUADE,10.1016/j.envsoft.2013.09.031,A comprehensive evaluation of various sensitivity analysis methods: A case study with a hydrological model (2014),"For the Sobol' method, the minimum samples needed are  to compute the first-order and total sensitivity indices correctly.","We use a newly developed software package, a Problem Solving environment for Uncertainty Analysis and Design Exploration (PSUADE), to evaluate the effectiveness and efficiency of ten widely used SA methods, including seven qualitative and three quantitative ones.",(C)  The Authors.,"All SA methods are tested using a variety of sampling techniques to screen out the most sensitive (i.e., important) parameters from the insensitive ones.","Morris One-At-a-Time (MOAT) screening is the most efficient, needing only  samples to identify the most important parameters, but it is the least robust method."
No,10.1016/j.cej.2008.09.002,Modelling of anaerobic treatment of evaporator condensate (EC) from a sulphite pulp mill using the IWA anaerobic digestion model no. 1 (ADM1) (2009),The model was implemented in the simulation software AQUASIM (R) .d and its predictions were compared to experimental data obtained in lab-scale semi-continuous assays treating the industrial effluent.,The accuracy of the optimised parameters was assessed against experimental data from a second lab-scale reactor treating EC effluent with an additional carbon source (molasses).,This paper presents the application of the ADM model to simulate the dynamic behaviour of an anaerobic reactor treating the condensate effluent (EC) generated in a sulphite pulp mill.,"In addition, simulations successfully predicted a better stability and performance of the process (lower VIA accumulation and higher COD removal and methane production) for the EC treatment when an external carbon source is added to the reactor, specifically at high organic loads ( kg COD m(-) d(-) or higher).",It was concluded that the model predicted reasonably the dynamic behaviour of the anaerobic reactor under different loading rates.
No (not related to environment),10.1016/j.compbiomed.2017.05.021,"Simulation, identification and statistical variation in cardiovascular analysis (SISCA) - A software framework for multi-compartment lumped modeling (2017)","This paper presents SISCA, a novel software framework for cardiovascular system modeling and its MATLAB implementation.","However, with post-treatment data showing unrealistic phase shifts and other more obvious inconsistencies within the dataset, the methods and results we present suggest that conditioning and uncertainty management of routine clinical data sets needs significantly more attention to obtain reasonable results in patient-specific cardiovascular modeling.","The framework defines a multi-model statistical ensemble approach for dimension reduced, multi-compartment models and focuses on statistical variation, system identification and patient-specific simulation based on clinical data.",The regarded dataset originated from routine clinical examinations and comprised typical pre and post surgery clinical data from a patient diagnosed with coarctation of aorta.,Natural variability and statistical variation of cardiovascular system parameters in healthy and diseased conditions are characteristic features for understanding cardiovascular diseases in more detail.
?,10.1007/s10665-016-9848-8,Efficient uncertainty quantification of a fully nonlinear and dispersive water wave model with random inputs (2016),"These methods allow us to accurately and efficiently estimate the probability distribution of the solution and require only the computation of the solution at different points in the parameter space, allowing for the reuse of existing simulation software.","Finally, we present a synthetic experiment studying the variance-based sensitivity of the wave load on an offshore structure to a number of input uncertainties.",The model is analyzed using random sampling techniques and nonintrusive methods based on generalized polynomial chaos (PC).,A major challenge in next-generation industrial applications is to improve numerical analysis by quantifying uncertainties in predictions.,We revisit experimental benchmarks often used for validation of deterministic water wave models.
