,AU,SO,copyright,title,year
255,"Esmaeili, S|Thomson, NR|Tolson, BA|Zebarth, BJ|Kuchta, SH|Neilsen, D",JOURNAL OF HYDROLOGY, Crown Copyright (C) 2014 Published by Elsevier B.V. All rights reserved.,Quantitative global sensitivity analysis of the RZWQM to warrant a robust and effective calibration,2014
256,"Hu, Z|Ao, D|Mahadevan, S",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,Calibration experimental design considering field response and model uncertainty,2017
257,"Rice, DCJ|Carriveau, R|Ting, DSK",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,,Commercial greenhouse water demand sensitivity analysis: single crop case study,2016
258,"Sweetapple, C|Fu, GT|Butler, D",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Identifying key sources of uncertainty in the modelling of greenhouse gas emissions from wastewater treatment,2013
259,"Ramin, E|Sin, G|Mikkelsen, PS|Plosz, BG",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Significance of settling model structures and parameter subsets in modelling WWTPs under wet-weather flow and filamentous bulking conditions,2014
260,"Chu, YF|Hahn, J",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Necessary condition for applying experimental design criteria to global sensitivity analysis results,2013
261,"Lucchetti, A|Vasapollo, C|Virgili, M",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,,Sea turtles bycatch in the Adriatic Sea set net fisheries and possible hot-spot identification,2017
262,"Cuntz, M|Mai, JL|Zink, M|Thober, S|Kumar, R|Schafer, D|Schron, M|Craven, J|Rakovec, O|Spieler, D|Prykhodko, V|Dalmasso, G|Musuuza, J|Langenberg, B|Attinger, S|Samaniego, L",WATER RESOURCES RESEARCH,,Computationally inexpensive identification of noninformative model parameters by sequential screening,2015
263,"Rakovec, O|Hill, MC|Clark, MP|Weerts, AH|Teuling, AJ|Uijlenhoet, R",WATER RESOURCES RESEARCH,,"Distributed Evaluation of Local Sensitivity Analysis ( DELSA), with application to hydrologic models",2014
264,"Ghosh, D|Routh, J|Bhadury, P",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Characterization and microbial utilization of dissolved lipid organic fraction in arsenic impacted aquifers (India),2015
265,"O'Malley, D|Vesselinov, VV",ADVANCES IN WATER RESOURCES, Published by Elsevier Ltd.,Analytical solutions for anomalous dispersion transport,2014
266,"Kim, YJ",SUSTAINABILITY,,Monte Carlo vs. Fuzzy Monte Carlo Simulation for Uncertainty and Global Sensitivity Analysis,2017
267,"Houle, ES|Livneh, B|Kasprzyk, JR",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Exploring snow model parameter sensitivity using Sobol' variance decomposition,2017
268,"Gao, L|Bryan, BA|Nolan, M|Connor, JD|Song, XD|Zhao, G",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Robust global sensitivity analysis under deep uncertainty via scenario analysis,2016
269,"Ju, FY|Hong, WC",APPLIED MATHEMATICAL MODELLING, (C) 2013 Elsevier Inc. All rights reserved.,Application of seasonal SVR with chaotic gravitational search algorithm in electricity forecasting,2013
270,"Jayaprakasam, S|Rahim, SKA|Leow, CY",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,PSOGSA-Explore: A new hybrid metaheuristic approach for beampattern optimization in collaborative beamforming,2015
271,"Lu, ZM|Noonan, D|Crittenden, J|Jeong, H|Wang, DL",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Use of Impact Fees To Incentivize Low-Impact Development and Promote Compact Growth,2013
272,"White, J|Stengel, V|Rendon, S|Banta, J",HYDROLOGY AND EARTH SYSTEM SCIENCES,,The importance of parameterization when simulating the hydrologic response of vegetative land-cover change,2017
273,"Nissenson, P|Thomas, JL|Finlayson-Pitts, BJ|Dabdub, D",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Sensitivity and uncertainty analysis of the mechanism of gas-phase chlorine production from NaCl aerosols in the MAGIC model,2008
274,"Quader, A|Guo, YP",JOURNAL OF HYDROLOGIC ENGINEERING,,Relative Importance of Hydrological and Sediment-Transport Characteristics Affecting Effective Discharge of Small Urban Streams in Southern Ontario,2009
275,"Sun, GY|Zhang, AZ|Yao, YJ|Wang, ZJ",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,A novel hybrid algorithm of gravitational search algorithm with genetic algorithm for multi-level thresholding,2016
276,"Jiang, SH|Wang, Y|Ji, ZC",APPLIED SOFT COMPUTING, (C) 2014 Elsevier B.V. All rights reserved.,Convergence analysis and performance of an improved gravitational search algorithm,2014
277,"Hosseini, SM|Ataie-Ashtiani, B|Simmons, CT",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,"Spring hydrograph simulation of karstic aquifers: Impacts of variable recharge area, intermediate storage and memory effects",2017
278,"Tinoco, J|Correia, AG|Cortez, P",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Support vector machines applied to uniaxial compressive strength prediction of jet grouting columns,2014
279,"Taverniers, S|Tartakovsky, DM",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,Impact of parametric uncertainty on estimation of the energy deposition into an irradiated brain tumor,2017
280,"Elshafei, Y|Tonts, M|Sivapalan, M|Hipsey, MR",WATER RESOURCES RESEARCH,,Sensitivity of emergent sociohydrologic dynamics to internal system properties and external sociopolitical factors: Implications for water management,2016
281,"Tian, W|de Wilde, P",INTERNATIONAL JOURNAL OF GLOBAL WARMING,,Impact of global warming on thermal performance of domestic buildings using probabilistic climate data,2016
282,"de Andrade, MD|Mundim, KC|Malbouisson, LAC",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.","Convergence of the Generalized Simulated Annealing method with independent parameters for the acceptance probability, visitation distribution, and temperature functions",2008
283,"Wei, ZF|Zu, YG|Fu, YJ|Wang, W|Zhao, CJ|Luo, M|Efferth, T",CHEMICAL ENGINEERING JOURNAL, (C) 2011 Elsevier B.V. All rights reserved.,Resin adsorption as a means to enrich rare stilbenes and coumarin from pigeon pea leaves extracts,2011
284,"Mirjalili, S|Mirjalili, SM|Lewis, A",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Grey Wolf Optimizer,2014
285,"Sargsyan, K|Safta, C|Najm, HN|Debusschere, BJ|Ricciuto, D|Thornton, P",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,DIMENSIONALITY REDUCTION FOR COMPLEX MODELS VIA BAYESIAN COMPRESSIVE SENSING,2014
286,"Kim, JY|Ghim, YS",ATMOSPHERIC ENVIRONMENT, (C) 2002 Elsevier Science Ltd. All rights reserved.,Effects of the density of meteorological observations on the diagnostic wind fields and the performance of photochemical modeling in the greater Seoul area,2002
287,"Wei, W|Larrey-Lassalle, P|Faure, T|Dumoulin, N|Roux, P|Mathias, JD",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,How to Conduct a Proper Sensitivity Analysis in Life Cycle Assessment: Taking into Account Correlations within LCI Data and Interactions within the LCA Calculation Model,2015
288,"Pappenberger, F|Beven, KJ|Ratto, M|Matgen, P",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Multi-method global sensitivity analysis of flood inundation models,2008
289,"Kwonpongsagoon, S|Bader, HP|Scheidegger, R",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,,Modelling cadmium flows in Australia on the basis of a substance flow analysis,2007
290,"Bauwe, A|Tiedemann, S|Kahle, P|Lennartz, B",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Does the Temporal Resolution of Precipitation Input Influence the Simulated Hydrological Components Employing the SWAT Model?,2017
291,"Cibin, R|Sudheer, KP|Chaubey, I",HYDROLOGICAL PROCESSES," Copyright (C) 2010 John Wiley & Sons, Ltd.",Sensitivity and identifiability of stream flow generation parameters of the SWAT model,2010
292,"Gonzalez-Alvarez, DL|Vega-Rodriguez, MA|Rubio-Largo, A",SOFT COMPUTING,,Convergence analysis of some multiobjective evolutionary algorithms when discovering motifs,2014
293,"Shao, Q|Younes, A|Fahs, M|Mara, TA",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,Bayesian sparse polynomial chaos expansion for global sensitivity analysis,2017
294,"Guenther, J|Lee, HKH|Gray, GA",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY," Copyright (c) 2014 John Wiley & Sons, Ltd.",Sequential design for achieving estimated accuracy of global sensitivities,2015
295,"Shi, Y|Lu, ZZ|Cheng, K|Zhou, YC",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Temporal and spatial multi-parameter dynamic reliability and global reliability sensitivity analysis based on the extreme value moments,2017
296,"Ervilha, AR|Pereira, JMC|Pereira, JCF",APPLIED MATHEMATICAL MODELLING, (C) 2016 Elsevier Inc. All rights reserved.,On the parametric uncertainty quantification of the Rothermel's rate of spread model,2017
297,"Ratto, M|Tarantola, S|Saltelli, A",COMPUTER PHYSICS COMMUNICATIONS, (C) 2001 Elsevier Science B.V. All rights reserved.,Sensitivity analysis in model calibration: GSA-GLUE approach,2001
298,"Jung, YJ|Zhou, QL|Birkholzer, JT",ADVANCES IN WATER RESOURCES, Published by Elsevier Ltd.,Early detection of brine and CO2 leakage through abandoned wells using pressure and surface-deformation monitoring data: Concept and demonstration,2013
299,"Wagener, T|Reed, P|van Werkhoven, K|Tang, Y|Zhang, ZX",JOURNAL OF HYDROINFORMATICS,,Advances in the identification and evaluation of complex environmental systems models,2009
300,"Fairchild, G|Hickmann, KS|Mniszewski, SM|Del Valle, SY|Hyman, JM",COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,,Optimizing human activity patterns using global sensitivity analysis,2014
301,"Yuan, XH|Jia, B|Zhang, SQ|Tian, H|Hou, YH",APPLIED SOFT COMPUTING, (C) 2014 Elsevier B.V. All rights reserved.,A new approach for unit commitment problem via binary gravitational search algorithm,2014
302,"Feizizadeh, B|Jankowski, P|Blaschke, T",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,A GIS based spatially-explicit sensitivity and uncertainty analysis approach for multi-criteria decision analysis,2014
303,"Ziehn, T|Hughes, KJ|Griffiths, JF|Porter, R|Tomlin, AS",COMBUSTION THEORY AND MODELLING,,A global sensitivity study of cyclohexane oxidation under low temperature fuel-rich conditions using HDMR methods,2009
304,"MacLeod, D|Cloke, H|Pappenberger, F|Weisheimer, A",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Evaluating uncertainty in estimates of soil moisture memory with a reverse ensemble approach,2016
305,"Precup, RE|David, RC|Petriu, EM|Preitl, S|Radac, MB",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,Novel Adaptive Gravitational Search Algorithm for Fuzzy Controlled Servo Systems,2012
306,"Zhang, YQ|Liu, YN|Pau, G|Oladyshkin, S|Finsterle, S",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Evaluation of multiple reduced-order models to enhance confidence in global sensitivity analyses,2016
307,"Zhao, CY|Lavasan, AA|Barciaga, T|Zarev, V|Datcheva, M|Schanz, T",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Model validation and calibration via back analysis for mechanized tunnel simulations - The Western Scheldt tunnel case,2015
308,"Bozorg-Haddad, O|Janbaz, M|Loaiciga, HA",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Application of the gravity search algorithm to multi-reservoir operation optimization,2016
309,"Fabrie, P|Gancel, G|Mortazavi, I|Piller, O",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Quality Modeling of Water Distribution Systems Using Sensitivity Equations,2010
310,"Lambert, RSC|Lemke, F|Kucherenko, SS|Song, SF|Shah, N",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Global sensitivity analysis using sparse high dimensional model representations generated by the group method of data handling,2016
311,"Ellouze, M|Gauchi, JP|Augustin, JC",RISK ANALYSIS,,Global Sensitivity Analysis Applied to a Contamination Assessment Model of Listeria monocytogenes in Cold Smoked Salmon at Consumption,2010
312,"Chen, S|Brune, WH|Oluwole, OO|Kolb, CE|Bacon, F|Li, GY|Rabitz, H",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Global Sensitivity Analysis of the Regional Atmospheric Chemical Mechanism: An Application of Random Sampling-High Dimensional Model Representation to Urban Oxidation Chemistry,2012
313,"Tilton, F|Tilton, SC|Bammler, TK|Beyer, R|Farin, F|Stapleton, PL|Gallagher, EP",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Transcriptional Biomarkers and Mechanisms of Copper-Induced Olfactory Injury in Zebrafish,2008
314,"Vezzaro, L|Eriksson, E|Ledin, A|Mikkelsen, PS",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2011 Elsevier B.V. All rights reserved.,Modelling the fate of organic micropollutants in stormwater ponds,2011
315,"Haghnegahdar, A|Razavi, S|Yassin, F|Wheater, H",HYDROLOGICAL PROCESSES,,Multicriteria sensitivity analysis as a diagnostic tool for understanding model behaviour and characterizing model uncertainty,2017
316,"Jacquin, AP|Shamseldin, AY",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Sensitivity analysis of Takagi-Sugeno-Kang rainfall-runoff fuzzy models,2009
317,"Hanna, R",BUILDING AND ENVIRONMENT, (C) 2001 Elsevier Science Ltd. All rights reserved.,Environmental appraisal of historic buildings in Scotland: the case study of the Glasgow School of Art,2002
318,"Vrugt, JA|Bouten, W|Gupta, HV|Sorooshian, S",WATER RESOURCES RESEARCH,,Toward improved identifiability of hydrologic model parameters: The information content of experimental data,2002
319,"Wang, YM|Luo, Y",MATHEMATICAL AND COMPUTER MODELLING, Elsevier Ltd. All rights reserved.,Integration of correlations with standard deviations for determining attribute weights in multiple attribute decision making,2010
320,"Atay, Y|Koc, I|Babaoglu, I|Kodaz, H",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Community detection from biological and social networks: A comparative analysis of metaheuristic algorithms,2017
321,"Park, Y|Cho, KH|Kang, JH|Lee, SW|Kim, JH",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Developing a flow control strategy to reduce nutrient load in a reclaimed multi-reservoir system using a 2D hydrodynamic and water quality model,2014
322,"Ballard, CE|McIntyre, N|Wheater, HS|Holden, J|Wallage, ZE",JOURNAL OF HYDROLOGY, (C) 2011 Elsevier B.V. All rights reserved.,Hydrological modelling of drained blanket peatland,2011
323,"Sengupta, TK|Sengupta, A",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,A new alternating bi-diagonal compact scheme for non-uniform grids,2016
324,"Song, EH|Nelson, BL|Staum, J",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Shapley Effects for Global Sensitivity Analysis: Theory and Computation,2016
325,"Hu, Z|Mahadevan, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Global sensitivity analysis-enhanced surrogate (GSAS) modeling for reliability analysis,2016
326,"Darzi, S|Kiong, TS|Islam, MT|Soleymanpour, HR|Kibria, S",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,A memory-based gravitational search algorithm for enhancing minimum variance distortionless response beamforming,2016
327,"Chu-Agor, ML|Munoz-Carpena, R|Kiker, G|Emanuelsson, A|Linkov, I",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Exploring vulnerability of coastal habitats to sea level rise through global sensitivity and uncertainty analyses,2011
328,"Mishra, S|Deeds, N|Ruskauff, G",GROUND WATER,,Global Sensitivity Analysis Techniques for Probabilistic Ground Water Modeling,2009
329,"Janon, A|Nodet, M|Prieur, C",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,UNCERTAINTIES ASSESSMENT IN GLOBAL SENSITIVITY INDICES ESTIMATION FROM METAMODELS,2014
330,"Shi, XQ|Ye, M|Curtis, GP|Miller, GL|Meyer, PD|Kohler, M|Yabusaki, S|Wu, JC",WATER RESOURCES RESEARCH,,Assessment of parametric uncertainty for groundwater reactive transport modeling,2014
331,"Gamerith, V|Neumann, MB|Muschalla, D",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Applying global sensitivity analysis to the modelling of flow and water quality in sewers,2013
332,"Rajabi, MM|Ataie-Ashtiani, B|Simmons, CT",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Polynomial chaos expansions for uncertainty propagation and moment independent sensitivity analysis of seawater intrusion simulations,2015
333,"Goel, T|Thakur, S|Haftka, RT|Shyy, W|Zhao, JH",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2008 John Wiley & Sons, Ltd.",Surrogate model-based strategy for cryogenic cavitation model validation and sensitivity evaluation,2008
334,"Romain, B|Rouet, L|Ohayon, D|Lucidarme, O|d'Alche-Buc, F|Letort, V",MEDICAL IMAGE ANALYSIS, (C) 2016 Elsevier B.V. All rights reserved.,Parameter estimation of perfusion models in dynamic contrast-enhanced imaging: a unified framework for model comparison,2017
335,"Estrada, V|Diaz, MS",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Global sensitivity analysis in the development of first principle-based eutrophication models,2010
336,"Watanabe, M|Ida, K|Gen, M",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,A genetic algorithm with modified crossover operator and search area adaptation for the job-shop scheduling problem,2005
337,"Constantine, PG|Doostan, A",STATISTICAL ANALYSIS AND DATA MINING,,Time-dependent global sensitivity analysis with active subspaces for a lithium ion battery model,2017
338,"Prieto, D|Asensio, MI|Ferragut, L|Cascon, JM",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Sensitivity analysis and parameter adjustment in a simplified physical wildland fire model,2015
339,"Prat, P|Benedetti, L|Corominas, L|Comas, J|Poch, M",WATER SCIENCE AND TECHNOLOGY,,Model-based knowledge acquisition in environmental decision support system for wastewater integrated management,2012
340,"Resmini, A|Peter, J|Lucor, D",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2015 John Wiley & Sons, Ltd.",Sparse grids-based stochastic approximations with applications to aerodynamics sensitivity analysis,2016
341,"Kaya, H|Kaplan, M|Saygin, H",COMPUTER PHYSICS COMMUNICATIONS, (C) 2004 Elsevier B.V. All rights reserved.,A recursive algorithm for finding HDMR terms for sensitivity analysis,2004
342,"Pianosi, F|Sarrazin, F|Wagener, T",ENVIRONMENTAL MODELLING & SOFTWARE, Published by Elsevier Ltd.,A Matlab toolbox for Global Sensitivity Analysis,2015
343,"Jordehi, AR",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Optimal allocation of FACTS devices for static security enhancement in power systems via imperialistic competitive algorithm (ICA),2016
344,"Yang, N|Zhang, H|Shao, LM|Lu, F|He, PJ",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Greenhouse gas emissions during MSW landfilling in China: Influence of waste characteristics and LFG treatment measures,2013
345,"Weiss, AY|Huisinga, W",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2011 Elsevier Inc. All rights reserved.,Error-controlled global sensitivity analysis of ordinary differential equations,2011
346,"Pianosi, F|Wagener, T",HYDROLOGICAL PROCESSES, Copyright (C) 2016 The Authors. Hydrological Processes. Published by John Wiley & Sons Ltd.,Understanding the time-varying importance of different uncertainty sources in hydrological modelling using global sensitivity analysis,2016
347,"Zahraeifard, V|Deng, ZQ|Malone, R",HYDROLOGICAL PROCESSES," Copyright (c) 2014 John Wiley & Sons, Ltd.",Modelling spatial variations in dissolved oxygen in fine-grained streams under uncertainty,2015
348,"O'Loughlin, F|Bruen, M|Wagener, T",HYDROLOGY RESEARCH,,Parameter sensitivity of a watershed-scale flood forecasting model as a function of modelling time-step,2013
349,"Benson, J|Ziehn, T|Dixon, NS|Tomlin, AS",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Global sensitivity analysis of a 3-dimensional street canyon model - Part II: Application and physical insight using sensitivity analysis,2008
350,"Lian, YQ|Wang, Y|Il Choi, H|Xie, H|Demissie, M",JOURNAL OF HYDRAULIC ENGINEERING-ASCE, (C) 2011 American Society of Civil Engineers.,50-Year Flood in the Lower Illinois River: Sensitivity of Spillway and Levee Failure Option Parameters in the UNET Model,2011
351,"Li, CS|Mao, YF|Zhou, JZ|Zhang, N|An, XL",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Design of a fuzzy-PID controller for a nonlinear hydraulic turbine governing system by using a novel gravitational search algorithm based on Cauchy mutation and mass weighting,2017
352,"Romero, J|Queipo, N",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability-based and deterministic design optimization of a FSAE brake pedal: a risk allocation analysis,2017
353,"Liu, YZ|Chaubey, I|Bowling, LC|Bralts, VF|Engel, BA",WATER RESOURCES MANAGEMENT,,Sensitivity and Uncertainty Analysis of the L-THIA-LID 2.1 Model,2016
354,"Kersaudy, P|Sudret, B|Varsier, N|Picon, O|Wiart, J",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,A new surrogate modeling technique combining Kriging and polynomial chaos expansions - Application to uncertainty analysis in computational dosimetry,2015
355,"Ciriello, V|Lauriola, I|Bonvicini, S|Cozzani, V|Di Federico, V|Tartakovsky, DM",WATER RESOURCES RESEARCH,,Impact of Hydrogeological Uncertainty on Estimation of Environmental Risks Posed by Hydrocarbon Transportation Networks,2017
356,"Nazif, S|Karamouz, M|Yousefi, M|Zahmatkesh, Z",WATER RESOURCES MANAGEMENT,,Increasing Water Security: An Algorithm to Improve Water Distribution Performance,2013
357,"Boscato, G|Russo, S|Ceravolo, R|Fragonara, LZ",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,Global Sensitivity-Based Model Updating for Heritage Structures,2015
358,"Ireland, G|Petropoulos, GP|Carlson, TN|Purdy, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Addressing the ability of a land biosphere model to predict key biophysical vegetation characterisation parameters with Global Sensitivity Analysis,2015
359,"Cosenza, A|Mannina, G|Vanrolleghem, PA|Neumann, MB",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2013 Elsevier B.V. All rights reserved.,Variance-based sensitivity analysis for wastewater treatment plant modelling,2014
360,"Ford, WI|Fox, JF",WATER RESOURCES RESEARCH,,"Isotope-based Fluvial Organic Carbon (ISOFLOC) Model: Model formulation, sensitivity, and evaluation",2015
361,"Donders, WP|Huberts, W|van de Vosse, FN|Delhaas, T",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING," Copyright (c) 2015John Wiley & Sons, Ltd.",Personalization of models with many model parameters: an efficient sensitivity analysis approach,2015
362,"Sin, G|Gernaey, KV|Neumann, MB|van Loosdrecht, MCM|Gujer, W",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Global sensitivity analysis in wastewater treatment plant model applications: Prioritizing sources of uncertainty,2011
363,"Pita, SSD|Fernandes, TVA|Caffarena, ER|Pascutti, PG",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.",Studies of molecular docking between fibroblast growth factor and heparin using generalized simulated annealing,2008
364,"Barani, F|Mirhosseini, M|Nezamabadi-pour, H|Farsangi, MM",APPLIED SOFT COMPUTING, (C) 2017 Elsevier B.V. All rights reserved.,Unit commitment by an improved binary quantum GSA,2017
365,"Brunetti, G|Simunek, J|Piro, P",JOURNAL OF HYDROLOGY, (C) 2016 Elsevier B.V. All rights reserved.,A comprehensive numerical analysis of the hydraulic behavior of a permeable pavement,2016
366,"Gumiere, SJ|Le Bissonnais, Y|Raclot, D",CATENA, (C) 2009 Elsevier B.V. All rights reserved.,Soil resistance to interrill erosion: Model parameterization and sensitivity,2009
367,"Neelam, M|Mohanty, BP",WATER RESOURCES RESEARCH,,Global sensitivity analysis of the radiative transfer model,2015
368,"Wu, HJ|Chen, B",ECOLOGICAL ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,"Evaluating uncertainty estimates in distributed hydrological modeling for the Wenjing River watershed in China by GLUE, SUFI-2, and Para Sol methods",2015
369,"Zagonari, F",APPLIED MATHEMATICAL MODELLING, (C) 2016 Elsevier Inc. All rights reserved.,A non-probabilistic methodology for reliable sustainability planning: An application to the Iraqi national irrigation system,2016
370,"Valuerde-Perez, B|Ramin, E|Smets, BF|Plosz, BG",WATER RESEARCH, Elsevier Ltd. All rights reserved.,EBP2R-An innovative enhanced biological nutrient recovery activated sludge system to produce growth medium for green microalgae cultivation,2015
371,"Marrel, A|Iooss, B|Van Dorpe, F|Volkova, E",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2008 Elsevier B.V. All rights reserved.,An efficient methodology for modeling complex computer codes with Gaussian processes,2008
372,"Lindenschmidt, KE",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Using stage frequency distributions as objective functions for model calibration and global sensitivity analyses,2017
373,"Cloke, HL|Pappenberger, F|Renaud, JP",HYDROLOGICAL PROCESSES," Copyright (C) 2007 John Wiley & Sons, Ltd.",Multi-Method Global Sensitivity Analysis (MMGSA) for modelling floodplain hydrological processes,2008
374,"Quillet, A|Garneau, M|Frolking, S",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Sobol' sensitivity analysis of the Holocene Peat Model: What drives carbon accumulation in peatlands?,2013
375,"Post, J|Hattermann, FF|Krysanova, V|Suckow, F",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Parameter and input data uncertainty estimation for the assessment of long-term soil organic carbon dynamics,2008
376,"Qi, W|Zhang, C|Fu, GT|Zhou, HC",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Quantifying dynamic sensitivity of optimization algorithm parameters to improve hydrological model calibration,2016
377,"Petropoulos, GP|Griffiths, HM|Tarantola, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A sensitivity analysis of the SimSphere SVAT model in the context of EO-based operational products development,2013
378,"Garcia-Arias, A|Frances, F",ECOHYDROLOGY," Copyright (C) 2015 John Wiley & Sons, Ltd.","The RVDM: modelling impacts, evolution and competition processes to determine riparian vegetation dynamics",2016
379,"Ronkko, T|Lahde, T|Heikkila, J|Pirjola, L|Bauschke, U|Arnold, F|Schlager, H|Rothe, D|Yi-Ojanpera, J|Keskinen, J",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Effects of Gaseous Sulphuric Acid on Diesel Exhaust Nanoparticle Formation and Characteristics,2013
380,"Demarty, J|Ottle, C|Braud, I|Olioso, A|Frangi, JP|Bastidas, LA|Gupta, HV",JOURNAL OF HYDROLOGY,,Using a multiobjective approach to retrieve information on surface properties used in a SVAT model,2004
381,"Chen, MJ|Buscheck, TA|Wagoner, JL|Sun, YW|White, JA|Chiaramonte, L|Aines, RD",HYDROGEOLOGY JOURNAL,,"Analysis of fault leakage from Leroy underground natural gas storage facility, Wyoming, USA",2013
