AU,SO,copyright,title,year
"Jha, PC|Gupta, D|Yang, B|Kapur, PK",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,"Optimal testing resource allocation during module testing considering cost, testing effort and reliability",2009
"Brandtberg, T|Warner, TA|Landenberger, RE|McGraw, JB",REMOTE SENSING OF ENVIRONMENT, (C) 2003 Elsevier Science Inc. All rights reserved.,"Detection and analysis of individual leaf-off tree crowns in small footprint, high sampling density lidar data from the eastern deciduous forest in North America",2003
"Mejia, D|Acosta, DA|Ruiz-Salguero, O",ENGINEERING COMPUTATIONS,,Weighted area/angle distortion minimization for Mesh Parameterization,2017
"Rohmer, J|Verdel, T",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Joint exploration of regional importance of possibilistic and probabilistic uncertainty in stability analysis,2014
"Eigel, M|Merdon, C|Neumann, J",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,An Adaptive Multilevel Monte Carlo Method with Stochastic Bounds for Quantities of Interest with Uncertain Data,2016
"Dostert, P|Efendiev, Y|Mohanty, B",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Efficient uncertainty quantification techniques in inverse problems for Richards' equation using coarse-scale simulation models,2009
"Allen, RG|Trezza, R|Kilic, A|Tasumi, M|Li, HJ",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Sensitivity of Landsat-Scale Energy Balance to Aerodynamic Variability in Mountains and Complex Terrain,2013
"Qiu, HC|Qiu, ZP",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A modified stochastic perturbation algorithm for closely-spaced eigenvalues problems based on surrogate model,2017
"Antoni, N|Gaisne, F",APPLIED MATHEMATICAL MODELLING, (C) 2010 Elsevier Inc. All rights reserved.,Analytical modelling for static stress analysis of pin-loaded lugs with bush fitting,2011
"Deandres-Galiana, EJ|Fernandez-Martinez, JL|Sonis, ST",JOURNAL OF COMPUTATIONAL BIOLOGY,,Design of Biomedical Robots for Phenotype Prediction Problems,2016
"Heider, P|Berebichez, D|Kohn, RV|Weinstein, MI",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimization of scattering resonances,2008
"de Oliveira, HCB|Esteves, CS|Gargano, R|do Nascimento, MAC|Malbouisson, LAC|Mundim, KC",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.",Molecular properties calculations using the q-Integral method,2008
"Luo, Z|Tong, LY",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2008 John Wiley & Sons, Ltd.",A level set method for shape and topology optimization of large-displacement compliant mechanisms,2008
"Chang, HB|Liao, QZ|Zhang, DX",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Surrogate model based iterative ensemble smoother for subsurface flow data assimilation,2017
"Finsterle, S|Zhang, YQ",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Solving iTOUGH2 simulation and optimization problems using the PEST protocol,2011
"Yin, SW|Yu, DJ|Yin, H|Xia, BZ",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,A new evidence-theory-based method for response analysis of acoustic system with epistemic uncertainty by using Jacobi expansion,2017
"Lessmann, K|Beyer, A|Klasmeier, J|Matthies, M",RISK ANALYSIS,,Influence of distributional shape of substance parameters on exposure model output,2005
"Li, ST|Petzold, L",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2004 Elsevier Inc. All rights reserved.,Adjoint sensitivity analysis for time-dependent partial differential equations with adaptive mesh refinement,2004
"Li, ZG|Jiang, J|Hong, L",INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,,Transient Behaviors in Noise-Induced Bifurcations Captured by Generalized Cell Mapping Method with an Evolving Probabilistic Vector,2015
"Noori, R|Safavi, S|Shahrokni, SAN",JOURNAL OF HYDROLOGY, (c) 2013 Elsevier B.V. All rights reserved.,A reduced-order adaptive neuro-fuzzy inference system model as a software sensor for rapid estimation of five-day biochemical oxygen demand,2013
"Chen, YY|Hoo, KA",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Uncertainty propagation for effective reduced-order model generation,2010
"Kowalsky, ES|Jennings, AA",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE, (C) 2012 American Society of Civil Engineers.,Worldwide Regulatory Guidance Values for Chlorinated Benzene Surface Soil Contamination,2012
"Schneider, LE|McCuen, RH",JOURNAL OF HYDROLOGIC ENGINEERING,,Assessing the hydrologic performance of best management practices,2006
"Wang, KH|Kuo, CC|Pearn, WL",APPLIED MATHEMATICAL MODELLING, (c) 2007 Elsevier Inc. All rights reserved.,A recursive method for the F-policy G/M/1/K queueing system with an exponential startup time,2008
"Stegmann, J|Lund, E",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2005 John Wiley & Sons, Ltd.",Discrete material optimization of general composite shell structures,2005
"Mu, HQ|Yuen, KV",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,Ground Motion Prediction Equation Development by Heterogeneous Bayesian Learning,2016
"Ali, AM|Solomatine, DP|Di Baldassarre, G",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Assessing the impact of different sources of topographic data on 1-D hydraulic modelling of floods,2015
"Alexanderian, A|Winokur, J|Sraj, I|Srinivasan, A|Iskandarani, M|Thacker, WC|Knio, OM",COMPUTATIONAL GEOSCIENCES,,Global sensitivity analysis in an ocean general circulation model: a sparse spectral projection approach,2012
"McMahon, TA|Pegram, GGS|Vogel, RM|Peel, MC",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Review of Gould-Dincer reservoir storage-yield-reliability estimates,2007
"Samuel, J|Coulibaly, P|Metcalfe, RA",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2011 American Society of Civil Engineers.,Estimation of Continuous Streamflow in Ontario Ungauged Basins: Comparison of Regionalization Methods,2011
"Moaveni, B|Conte, JP|Hemez, FM",COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,Uncertainty and Sensitivity Analysis of Damage Identification Results Obtained Using Finite Element Model Updating,2009
"Lopez-Fidalgo, J|Rodriguez-Hernandez, MM",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2014 Elsevier B.V. All rights reserved.,Experimental designs for the Adair model,2014
"Mishra, S|Schwab, C|Sukys, J",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2012 Elsevier Inc. All rights reserved.,Multi-level Monte Carlo finite volume methods for nonlinear systems of conservation laws in multi-dimensions,2012
"Hossain, F|Anagnostou, EN|Bagtzoglou, AC",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,On Latin Hypercube sampling for efficient uncertainty estimation of satellite rainfall observations in flood prediction,2006
"Bi, M|Escobar, M|Goetz, B|Zagst, R",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY," Copyright (c) 2016 John Wiley & Sons, Ltd.",Principal component models with stochastic mean-reverting levels. Pricing and covariance surface improvements,2016
"Decostere, B|De Craene, J|Van Hoey, S|Vervaeren, H|Nopens, I|Van Hulle, SWH",CHEMICAL ENGINEERING JOURNAL, (C) 2015 Elsevier B.V. All rights reserved.,Validation of a microalgal growth model accounting with inorganic carbon and nutrient kinetics for wastewater treatment,2016
"Brunetti, G|Simunek, J|Turco, M|Piro, P",JOURNAL OF HYDROLOGY, (C) 2017 Elsevier B.V. All rights reserved.,On the use of surrogate-based modeling for the numerical analysis of Low Impact Development techniques,2017
"Fiocco, M|Stijnen, T|Putter, H",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2011 Elsevier B.V. All rights reserved.,"Meta-analysis of time-to-event outcomes using a hazard-based approach: Comparison with other models, robustness and meta-regression",2012
"Li, G|Iskandarani, M|Le Henaff, M|Winokur, J|Le Maitre, OP|Knio, OM",COMPUTATIONAL GEOSCIENCES,,Quantifying initial and wind forcing uncertainties in the Gulf of Mexico,2016
"Lee, SL|Woodward, CS|Graziani, F",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2003 Elsevier B.V. All rights reserved.,Analyzing radiation diffusion using time-dependent sensitivity-based techniques,2003
"Kalyanaraman, J|Fan, YF|Labreche, Y|Lively, RP|Kawajiri, Y|Realff, MJ",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,"Bayesian estimation of parametric uncertainties, quantification and reduction using optimal design of experiments for CO2 adsorption on amine sorbents",2015
"Chang, KH|Joo, SH",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Design parameterization and tool integration for CAD-based mechanism optimization,2006
"de Andrade, MD|Mundim, KC|Malbouisson, LAC",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY," (C) 2008 Wiley Periodicals, Inc.","Convergence of the Generalized Simulated Annealing method with independent parameters for the acceptance probability, visitation distribution, and temperature functions",2008
"Le Dimet, FX|Souopgui, I|Ngodock, HE",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (C) 2016 John Wiley & Sons, Ltd.",Sensitivity analysis applied to a variational data assimilation of a simulated pollution transport problem,2017
"Uyumaz, A|Mehr, AD|Kahya, E|Erdem, H",JOURNAL OF HYDROINFORMATICS,,Rectangular side weirs discharge coefficient estimation in circular channels using linear genetic programming approach,2014
"Aguillaume, L|Izquieta-Rojano, S|Garcia-Gomez, H|Elustondo, D|Santamaria, JM|Alonso, R|Avila, A",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,Dry deposition and canopy uptake in Mediterranean holm-oak forests estimated with a canopy budget model: A focus on N estimations,2017
"Bahremand, A|De Smedt, F",WATER RESOURCES MANAGEMENT,,"Distributed hydrological modeling and sensitivity analysis in Torysa watershed, Slovakia",2008
"Castillo, E|Hadi, AS|Minguez, R",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Diagnostics for non-linear regression,2009
"Dang, C|Chu, N|Ding, Y",ENVIRONMENTAL EARTH SCIENCES,,Predictive uncertainty of peak outflow relations for landslides dam breach,2014
"Jeremiah, E|Sisson, SA|Sharma, A|Marshall, L",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Efficient hydrological model parameter optimization with Sequential Monte Carlo sampling,2012
"Stavroyiannis, S|Simos, TE",COMPUTER PHYSICS COMMUNICATIONS, (C) 2010 Elsevier B.V. All rights reserved.,A nonlinear explicit two-step fourth algebraic order method of order infinity for linear periodic initial value problems,2010
"Emerick, A|Reynolds, A",COMPUTATIONAL GEOSCIENCES,,Combining sensitivities and prior information for covariance localization in the ensemble Kalman filter for petroleum reservoir applications,2011
"Zhang, JP|Gong, SG|Huang, YQ|Qiu, AH|Chen, RK",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Structural dynamic shape optimization and sensitivity analysis based on RKPM,2008
"White, LW|Vieux, B|Armand, D|LeDimet, FX",ADVANCES IN WATER RESOURCES, (C) 2002 Elsevier Science Ltd. All rights reserved.,Estimation of optimal parameters for a surface hydrology model,2003
"Eckhardt, K",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Technical Note: Analytical sensitivity analysis of a two parameter recursive digital baseflow separation filter,2012
"Mazrou, H|Allab, M",RADIATION PROTECTION DOSIMETRY,,NEUTRON FIELD MEASUREMENTS OF THE CRNA OB26 IRRADIATOR USING A BONNER SPHERE SPECTROMETER FOR RADIATION PROTECTION PURPOSES,2012
"Ziomek, G|Antos, D",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Stochastic optimization of simulated moving bed process - Sensitivity analysis for isocratic and gradient operation,2005
"Navarro, V|Yustres, A|Candel, M|Lopez, J|Castillo, E",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,Sensitivity analysis applied to slope stabilization at failure,2010
"Caeiro, MH|Demyanov, V|Soares, A",MATHEMATICAL GEOSCIENCES,,Optimized History Matching with Direct Sequential Image Transforming for Non-Stationary Reservoirs,2015
"Chaudhuri, A|Haftka, RT|Ifju, P|Chang, K|Tyler, C|Schmitz, T",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Experimental flapping wing optimization and uncertainty quantification using limited samples,2015
"Bishop, JE|Emery, JM|Field, RV|Weinberger, CR|Littlewood, DJ",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2015 Elsevier B.V. All rights reserved.,Direct numerical simulations in solid mechanics for understanding the macroscale effects of microscale material variability,2015
"Khosravi, P|Sedaghati, R",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,"Design of laminated composite structures for optimum fiber direction and layer thickness, using optimality criteria",2008
"Korayem, MH|Taheri, M|Ghasemi, M|Badkoobehhezavh, H",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,,Investigating the effective parameters in the Atomic Force Microscope-based dynamic manipulation of rough micro/nanoparticles by using the Sobol sensitivity analysis method,2015
"Iranmanesh, SH|Thomson, V|Salimi, MH",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,,Design parameter estimation using a modified QFD method to improve customer perception,2005
"Moradkhani, H|DeChant, CM|Sorooshian, S",WATER RESOURCES RESEARCH,,Evolution of ensemble data assimilation for uncertainty quantification using the particle filter-Markov chain Monte Carlo method,2012
"Newman, JK|Kaleita, AL|Morton, LW",JOURNAL OF SOIL AND WATER CONSERVATION,,"Stakeholder perspectives: An important component for applying total maximum, daily load science",2013
"Watts, S|Tortorelli, DA",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2016 John Wiley & Sons, Ltd.",An n-material thresholding method for improving integerness of solutions in topology optimization,2016
"Ferdous, R|Khan, F|Sadiq, R|Amyotte, P|Veitch, B",PROCESS SAFETY AND ENVIRONMENTAL PROTECTION, Published by Elsevier B.V. All rights reserved.,Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach,2013
"Fazaelipoor, MH",CHEMICAL ENGINEERING JOURNAL, (C) 2010 Elsevier B.V. All rights reserved.,Modeling the heat effects in waste air trickling biofilters,2010
"Kim, S|Kim, Y|Kang, N|Kim, HS",WATER,,Application of the Entropy Method to Select Calibration Sites for Hydrological Modeling,2015
"Mertens, J|Madsen, H|Kristensen, M|Jacques, D|Feyen, J",HYDROLOGICAL PROCESSES," Copyright (c) 2005 John Wiley & Sons, Ltd.","Sensitivity of soil parameters in unsaturated zone modelling and the relation between effective, laboratory and in situ estimates",2005
"Li, H|Li, PG|Gao, L|Zhang, L|Wu, T",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,A level set method for topological shape optimization of 3D structures with extrusion constraints,2015
"Farnoud, F|Yaakobi, E|Bruck, J",JOURNAL OF COMBINATORIAL OPTIMIZATION,,Approximate sorting of data streams with limited storage,2016
"Uche, J|Artal, J|Serra, L",DESALINATION,,Comparison of heat transfer coefficient correlations for thermal desalination units,2003
"Jones, S",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Measuring what's missing: practical estimates of coverage for stochastic simulations,2016
"Bardsley, JM|Seppanen, A|Solonen, A|Haario, H|Kaipio, J",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Randomize-Then-Optimize for Sampling and Uncertainty Quantification in Electrical Impedance Tomography,2015
"Kumar, D|Raisee, M|Lacor, C",COMPUTERS & FLUIDS, Elsevier Ltd. All rights reserved.,An efficient non-intrusive reduced basis model for high dimensional stochastic problems in CFD,2016
"Alis, OF|Rabitz, H",JOURNAL OF MATHEMATICAL CHEMISTRY,,Efficient implementation of high dimensional model representations,2001
"Brigode, P|Bernardara, P|Paquet, E|Gailhard, J|Garavaglia, F|Merz, R|Micovic, Z|Lawrence, D|Ribstein, P",WATER RESOURCES RESEARCH,,Sensitivity analysis of SCHADEX extreme flood estimations to observed hydrometeorological variability,2014
"Papaioannou, G|Loukas, A|Vasiliades, L|Aronica, GT",NATURAL HAZARDS,,Flood inundation mapping sensitivity to riverine spatial resolution and modelling approach,2016
"Destercke, S|Guillard, V",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (C) 2011 Elsevier B.V. All rights reserved.,Interval analysis on non-linear monotonic systems as an efficient tool to optimise fresh food packaging,2011
"Font, L|Baixeras, C|Domingo, C",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2001 Elsevier Science B.V. All rights reserved.,"Uncertainty, variability and sensitivity analysis applied to the RAGENA model of radon generation, entry and accumulation indoors",2001
"Hasanipanah, M|Faradonbeh, RS|Armaghani, DJ|Amnieh, HB|Khandelwal, M",ENVIRONMENTAL EARTH SCIENCES,,Development of a precise model for prediction of blast-induced flyrock using regression tree technique,2017
"Lee, BY",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Design sensitivity analysis and optimization of interface shape for zoned-inhomogeneous thermal conduction problems using boundary integral formulation,2010
"Zhang, YS|Liu, YS|Yang, XF",MATHEMATICAL PROBLEMS IN ENGINEERING,,Parametric Sensitivity Analysis for Importance Measure on Failure Probability and Its Efficient Kriging Solution,2015
"Pargar, F|Kauppila, O|Kujala, J",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Integrated scheduling of preventive maintenance and renewal projects for multi-unit systems with grouping and balancing,2017
"Ketema, AA|Langergraber, G",JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,,Sensitivity analysis for water supply input parameters of the CLARA simplified planning tool using three complementary methods,2015
"Zhang, L|Constantinescu, EM|Sandu, A|Tang, Y|Chai, T|Carmichael, GR|Byun, D|Olaguer, E",ATMOSPHERIC ENVIRONMENT, Elsevier Ltd. All rights reserved.,An adjoint sensitivity analysis and 4D-Var data assimilation study of Texas air quality,2008
"Wang, S|Jaffe, PR|Li, G|Wang, SW|Rabitz, HA",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2003 Elsevier Science B.V. All rights reserved.,Simulating bioremediation of uranium-contaminated aquifers; uncertainty assessment of model parameters,2003
"Norton, J",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,An introduction to sensitivity assessment of simulation models,2015
"Ozen, HC|Bal, G",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,A dynamical polynomial chaos approach for long-time evolution of SPDEs,2017
"Lopez, LR|Dorado, AD|Mora, M|Gamisans, X|Lafuente, J|Gabriel, D",CHEMICAL ENGINEERING JOURNAL, (C) 2016 Elsevier B.V. All rights reserved.,Modeling an aerobic biotrickling filter for biogas desulfurization through a multi-step oxidation mechanism,2016
"Isazadeh, S|Rivas, LEU|Ozcer, PO|Frigon, D",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Reduction of waste biosolids by RAS-ozonation: Model validation and sensitivity analysis for biosolids reduction and nitrification,2015
"Benner, P|Schneider, J",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,UNCERTAINTY QUANTIFICATION FOR MAXWELL'S EQUATIONS USING STOCHASTIC COLLOCATION AND MODEL ORDER REDUCTION,2015
"Kim, D|Kim, H|Pak, G|Jung, M|Mallari, KJB|Arguelles, ACC|Yoon, J",DESALINATION AND WATER TREATMENT,,Parameter sensitivity and uncertainty analysis of a stormwater runoff model,2015
"Sadhukhan, S|Singha, S|Sarkar, U",CHEMICAL ENGINEERING JOURNAL, (C) 2009 Elsevier B.V. All rights reserved.,Adsorption of para chloro meta xylenol (PCMX) in composite adsorbent beds: Parameter estimation using nonlinear least square technique,2009
"Tang, G|Iaccarino, G",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Subsampled Gauss Quadrature Nodes for Estimating Polynomial Chaos Expansions,2014
"Schevenels, M|Sigmund, O",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,On the implementation and effectiveness of morphological close-open and open-close filters for topology optimization,2016
"Najm, HN|Debusschere, BJ|Marzouk, YA|Widmer, S|Le Maitre, OP",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright 0 2009 John Wiley & Sons, Ltd",Uncertainty quantification in chemical systems,2009
"Yang, J|Reichert, P|Abbaspour, KC",WATER RESOURCES RESEARCH,,Bayesian uncertainty analysis in distributed hydrologic modeling: A case study in the Thur River basin (Switzerland),2007
"Hu, Z|Mahadevan, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A surrogate modeling approach for reliability analysis of a multidisciplinary system with spatio-temporal output,2017
"Shen, K|Scott, JK",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Rapid and accurate reachability analysis for nonlinear dynamic systems by exploiting model redundancy,2017
"Jakeman, JD|Eldred, MS|Sargsyan, K",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2015 Elsevier Inc. All rights reserved.,Enhancing l(1)-minimization estimates of polynomial chaos expansions using basis selection,2015
"Singh, H|Dhar, J|Bhatti, HS",INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,,Bifurcation in Disease Dynamics with Latent Period of Infection and Media Awareness,2016
"Li, P",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Statistical sampling-based parametric analysis of power grids,2006
"Casali, J|Lopez, JJ|Giraldez, JV",CATENA, (C) 2003 Elsevier Science B.V. All rights reserved.,A process-based model for channel degradation: application to ephemeral gully erosion,2003
"Yu, PS|Yang, TC|Chen, SJ",JOURNAL OF HYDROLOGY, (C) 2001 Elsevier Science B.V. All rights reserved.,Comparison of uncertainty analysis methods for a distributed rainfall-runoff model,2001
"Hantush, MM|Kalin, L",JOURNAL OF HYDROLOGIC ENGINEERING,,Stochastic residual-error analysis for estimating hydrologic model predictive uncertainty,2008
"Liu, FF|Li, YP|Huang, GH|Cui, L|Liu, J",JOURNAL OF HYDROLOGIC ENGINEERING,,Assessing Uncertainty in Hydrological Processes Using a Fuzzy Vertex Simulation Method,2016
"Albrecht, A|Miquel, S",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY, Elsevier Ltd. All rights reserved.,Extension of sensitivity and uncertainty analysis for long term dose assessment of high level nuclear waste disposal sites to uncertainties in the human behaviour,2010
"Kryza, M|Werner, M|Dore, AJ|Vieno, M|Blas, M|Drzeniecka-Osiadacz, A|Netzel, P",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,,Modelling meteorological conditions for the episode (December 2009) of measured high PM10 air concentrations in SW Poland - application of the WRF model,2012
"Park, SY|Kim, JW|Lee, DH",ENERGY POLICY, Elsevier Ltd. All rights reserved.,Development of a market penetration forecasting model for Hydrogen Fuel Cell Vehicles considering infrastructure and cost reduction effects,2011
"Jeong, J|Park, E|Han, WS|Kim, KY",HYDROGEOLOGY JOURNAL,,A subagging regression method for estimating the qualitative and quantitative state of groundwater,2017
"Baroudi, D|Thibert, E",COLD REGIONS SCIENCE AND TECHNOLOGY, (C) 2009 Elsevier B.V. All rights reserved.,An instrumented structure to measure avalanche impact pressure: Error analysis from Monte Carlo simulations,2009
"Giner, E|Fuenmayor, FJ|Tarancon, JE",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2003 John Wiley Sons, Ltd.",An improvement of the EDI method in linear elastic fracture mechanics by means of an a posteriori error estimator in G,2004
"Chen, HY|Niu, Z|Huang, WJ|Feng, JL",JOURNAL OF APPLIED REMOTE SENSING, (C) 2013 Society of Photo-Optical Instrumentation Engineers (SPIE) [DOI: 10.1117/1.JRS.7.073577],Predicting leaf area index in wheat using an improved empirical model,2013
"Shen, CJ|Li, MT|Zhang, W|Yi, Y|Wang, YM|Hou, Q|Huang, BX|Lu, CP",DISCRETE DYNAMICS IN NATURE AND SOCIETY,,Modeling Transmission Dynamics of Streptococcus suis with Stage Structure and Sensitivity Analysis,2014
"Elawwad, A|Naguib, A|Abdel-Halim, H",DESALINATION AND WATER TREATMENT,,Modeling of phenol and cyanide removal in a full-scale coke-oven wastewater treatment plant,2016
"Lengiewicz, J|Stupkiewicz, S",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2010 Elsevier B.V. All rights reserved.,Continuum framework for finite element modelling of finite wear,2012
"Minunno, F|van Oijen, M|Cameron, DR|Pereira, JS",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Selecting Parameters for Bayesian Calibration of a Process-Based Model: A Methodology Based on Canonical Correlation Analysis,2013
"Xie, CL|Ren, JG",MATHEMATICAL PROBLEMS IN ENGINEERING,,A Dynamical Reliability Prediction Algorithm for Composite Service,2014
"Linhoss, AC|Munoz-Carpena, R|Kiker, G|Wolski, P",WATER SA,,Reducing uncertainty based on model fitness: Application to a reservoir model,2015
"Bergkvist, P|Jarvis, N",JOURNAL OF ENVIRONMENTAL QUALITY,,Modeling organic carbon dynamics and cadmium fate in long-term sludge-amended soil,2004
"Doraghinejad, M|Nezamabadi-pour, H",INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,,Black Hole: A New Operator for Gravitational Search Algorithm,2014
"Reichert, P|Schuwirth, N",WATER RESOURCES RESEARCH,,Linking statistical bias description to multiobjective model calibration,2012
"Martien, PT|Harley, RA",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Adjoint sensitivity analysis for a three-dimensional photochemical model: Implementation and method comparison,2006
"Kaya, H|Kaplan, M|Saygin, H",COMPUTER PHYSICS COMMUNICATIONS, (C) 2004 Elsevier B.V. All rights reserved.,A recursive algorithm for finding HDMR terms for sensitivity analysis,2004
"Artina, S|Bolognesi, A|Liserra, T|Maglionico, A",ENVIRONMENTAL MODELLING & SOFTWARE, (c) 2006 Published by Elsevier Ltd.,Simulation of a storm sewer network in industrial area: Comparison between models calibrated through experimental data,2007
"Pasha, MFK|Yeasmin, D|Saetern, S|Yang, M|Kao, SC|Smith, B",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,,Uncertainty Analysis in Geospatial Merit Matrix-Based Hydropower Resource Assessment,2016
"Georgsen, F|Roe, P|Syversveen, AR|Lia, O",COMPUTATIONAL GEOSCIENCES,,Fault displacement modelling using 3D vector fields,2012
"Giusti, SM|Novotny, AA|Padra, C",ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS, Elsevier Ltd. All rights reserved.,Topological sensitivity analysis of inclusion in two-dimensional linear elasticity,2008
"Chang, SC|Chang, CT",APPLIED MATHEMATICAL MODELLING, (C) 2017 Elsevier Inc. All rights reserved.,A multi-stage and multi-supplier inventory model allowing different order quantities,2017
"Gal, G|Makler-Pick, V|Shachar, N",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Dealing with uncertainty in ecosystem model scenarios: Application of the single-model ensemble approach,2014
"Bannwarth, MA|Hugenschmidt, C|Sangchan, W|Lamers, M|Ingwersen, J|Ziegler, AD|Streck, T",HYDROLOGICAL PROCESSES," Copyright (c) 2014 John Wiley & Sons, Ltd.","Simulation of stream flow components in a mountainous catchment in northern Thailand with SWAT, using the ANSELM calibration approach",2015
"Prieto, D|Asensio, MI|Ferragut, L|Cascon, JM",ADVANCES IN ENGINEERING SOFTWARE, Elsevier Ltd. All rights reserved.,Sensitivity analysis and parameter adjustment in a simplified physical wildland fire model,2015
"Maskey, S|Guinot, V",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Improved first-order second moment method for uncertainty estimation in flood forecasting,2003
