AU,year,title,journal,citations,Avg. Citations,DOI link
"Ferreira, I|de Weck, O|Saraiva, P|Cabral, J",2010,Multidisciplinary optimization of injection molding systems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,2.12,https://dx.doi.org/10.1007/s00158-009-0435-8
"Nguyen, TG|de Kok, JL",2007,Systematic testing of an integrated systems model for coastal zone management using sensitivity and uncertainty analyses,ENVIRONMENTAL MODELLING & SOFTWARE,17,1.55,https://dx.doi.org/10.1016/j.envsoft.2006.08.008
"Xia, L|Zhu, JH|Zhang, WH",2012,Sensitivity analysis with the modified Heaviside function for the optimal layout design of multi-component systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,2.83,https://dx.doi.org/10.1016/j.cma.2012.06.005
"Kennedy, GJ|Martins, JRRA",2014,A parallel aerostructural optimization framework for aircraft design studies,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,4.25,https://dx.doi.org/10.1007/s00158-014-1108-9
"Li, LY|Tchelepi, HA|Zhang, DX",2003,Perturbation-based moment equation approach for flow in heterogeneous porous media: applicability range and analysis of high-order terms,JOURNAL OF COMPUTATIONAL PHYSICS,17,1.13,https://dx.doi.org/10.1016/S0021-9991(03)00186-4
"Ceranic, B|Fryer, C",2000,Sensitivity analysis and optimum design curves for the minimum cost design of singly and doubly reinforced concrete beams,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,17,0.94,https://dx.doi.org/10.1007/s001580050156
"Stella, T|Frasso, N|Negrini, G|Bregaglio, S|Cappelli, G|Acutis, M|Confalonieri, R",2014,"Model simplification and development via reuse, sensitivity analysis and composition: A case study in crop modelling",ENVIRONMENTAL MODELLING & SOFTWARE,17,4.25,https://dx.doi.org/10.1016/j.envsoft.2014.05.007
"Nakshatrala, PB|Tortorelli, DA",2015,Topology optimization for effective energy propagation in rate-independent elastoplastic material systems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,5.67,https://dx.doi.org/10.1016/j.cma.2015.05.004
"Reddy, RM|Rao, BN",2008,Stochastic fracture mechanics by fractal finite element method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,1.7,https://dx.doi.org/10.1016/j.cma.2008.08.014
"Noh, SJ|Rakovec, O|Weerts, AH|Tachikawa, Y",2014,On noise specification in data assimilation schemes for improved flood forecasting using distributed hydrological models,JOURNAL OF HYDROLOGY,16,4.0,https://dx.doi.org/10.1016/j.jhydrol.2014.07.049
"Wang, S|Huang, GH|Baetz, BW|Huang, W",2015,A polynomial chaos ensemble hydrologic prediction system for efficient parameter inference and robust uncertainty assessment,JOURNAL OF HYDROLOGY,16,5.33,https://dx.doi.org/10.1016/j.jhydrol.2015.10.021
"Villagarcia, L|Were, A|Domingo, F|Garcia, M|Alados-Arbotedas, L",2007,Estimation of soil boundary-layer resistance in sparse semiarid stands for evapotranspiration modelling,JOURNAL OF HYDROLOGY,16,1.45,https://dx.doi.org/10.1016/j.jhydrol.2007.05.023
"Zhao, JP|Wang, CJ",2016,Dynamic response topology optimization in the time domain using model reduction method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,8.0,https://dx.doi.org/10.1007/s00158-015-1328-7
"Kato, J|Hoshiba, H|Takase, S|Terada, K|Kyoya, T",2015,Analytical sensitivity in topology optimization for elastoplastic composites,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,16,5.33,https://dx.doi.org/10.1007/s00158-015-1246-8
"Rafieeinasab, A|Seo, DJ|Lee, H|Kim, S",2014,Comparative evaluation of maximum likelihood ensemble filter and ensemble Kalman filter for real-time assimilation of streamflow data into operational hydrologic models,JOURNAL OF HYDROLOGY,16,4.0,https://dx.doi.org/10.1016/j.jhydrol.2014.06.052
"Lerat, J|Perrin, C|Andreassian, V|Loumagne, C|Ribstein, P",2012,Towards robust methods to couple lumped rainfall-runoff models and hydraulic models: A sensitivity analysis on the Illinois River,JOURNAL OF HYDROLOGY,16,2.67,https://dx.doi.org/10.1016/j.jhydrol.2009.09.019
"Probst, M|Lulfesmann, M|Nicolai, M|Bucker, HM|Behr, M|Bischof, CH",2010,Sensitivity of optimal shapes of artificial grafts with respect to flow parameters,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,2.0,https://dx.doi.org/10.1016/j.cma.2009.11.013
"Hojjat, M|Stavropoulou, E|Bletzinger, KU",2014,The Vertex Morphing method for node-based shape optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,4.0,https://dx.doi.org/10.1016/j.cma.2013.10.015
"Keshavarzzadeh, V|Meidani, H|Tortorelli, DA",2016,Gradient based design optimization under uncertainty via stochastic expansion methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,16,8.0,https://dx.doi.org/10.1016/j.cma.2016.03.046
"Carpentieri, G|Koren, B|van Tooren, MJL",2007,Adjoint-based aerodynamic shape optimization on unstructured meshes,JOURNAL OF COMPUTATIONAL PHYSICS,16,1.45,https://dx.doi.org/10.1016/j.jcp.2007.02.011
"Mehmani, A|Chowdhury, S|Messac, A",2015,Predictive quantification of surrogate model fidelity based on modal variations with sample density,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,15,5.0,https://dx.doi.org/10.1007/s00158-015-1234-z
"Skahill, BE|Baggett, JS|Frankenstein, S|Downer, CW",2009,More efficient PEST compatible model independent model calibration,ENVIRONMENTAL MODELLING & SOFTWARE,15,1.67,https://dx.doi.org/10.1016/j.envsoft.2008.09.011
"White, JT|Fienen, MN|Doherty, JE",2016,A python framework for environmental model uncertainty analysis,ENVIRONMENTAL MODELLING & SOFTWARE,15,7.5,https://dx.doi.org/10.1016/j.envsoft.2016.08.017
"Massmann, C|Wagener, T|Holzmann, H",2014,A new approach to visualizing time-varying sensitivity indices for environmental model diagnostics across evaluation time-scales,ENVIRONMENTAL MODELLING & SOFTWARE,15,3.75,https://dx.doi.org/10.1016/j.envsoft.2013.09.033
"Zoras, S|Triantafyllou, AG|Hurley, PJ",2007,Grid sensitivity analysis for the calibration of a prognostic meteorological model in complex terrain by a screening experiment,ENVIRONMENTAL MODELLING & SOFTWARE,15,1.36,https://dx.doi.org/10.1016/j.envsoft.2005.09.010
"Li, WX|Lin, G|Zhang, DX",2014,An adaptive ANOVA-based PCKF for high-dimensional nonlinear inverse modeling,JOURNAL OF COMPUTATIONAL PHYSICS,15,3.75,https://dx.doi.org/10.1016/j.jcp.2013.11.019
"Straub, D|Papaioannou, I|Betz, W",2016,Bayesian analysis of rare events,JOURNAL OF COMPUTATIONAL PHYSICS,15,7.5,https://dx.doi.org/10.1016/j.jcp.2016.03.018
"Abgrall, R|Congedo, PM",2013,A semi-intrusive deterministic approach to uncertainty quantification in non-linear fluid flow problems,JOURNAL OF COMPUTATIONAL PHYSICS,15,3.0,https://dx.doi.org/10.1016/j.jcp.2012.07.041
"Laloy, E|Bielders, CL",2008,"Plot scale continuous modelling of runoff in a maize cropping system with dynamic soil, surface properties",JOURNAL OF HYDROLOGY,15,1.5,https://dx.doi.org/10.1016/j.jhydrol.2007.11.033
"Bezak, N|Sraj, M|Mikos, M",2016,Copula-based IDF curves and empirical rainfall thresholds for flash floods and rainfall-induced landslides,JOURNAL OF HYDROLOGY,15,7.5,https://dx.doi.org/10.1016/j.jhydrol.2016.02.058
"Tang, GP|Mayes, MA|Parker, JC|Yin, XPL|Watson, DB|Jardine, PM",2009,Improving parameter estimation for column experiments by multi-model evaluation and comparison,JOURNAL OF HYDROLOGY,15,1.67,https://dx.doi.org/10.1016/j.jhydrol.2009.07.063
"Mohan, PS|Nair, PB|Keane, AJ",2008,Multi-element stochastic reduced basis methods,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,15,1.5,https://dx.doi.org/10.1016/j.cma.2007.11.021
"Chen, XX|Park, EJ|Xiu, DB",2013,A flexible numerical approach for quantification of epistemic uncertainty,JOURNAL OF COMPUTATIONAL PHYSICS,14,2.8,https://dx.doi.org/10.1016/j.jcp.2013.01.018
"Lemaire, E|Rochus, V|Golinval, JC|Duysinx, P",2008,Microbeam pull-in voltage topology optimization including material deposition constraint,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,1.4,https://dx.doi.org/10.1016/j.cma.2008.03.024
"Dai, C|Xue, L|Zhang, DX|Guadagnini, A",2016,Data-worth analysis through probabilistic collocation-based Ensemble Kalman Filter,JOURNAL OF HYDROLOGY,14,7.0,https://dx.doi.org/10.1016/j.jhydrol.2016.06.037
"Jardak, M|Ghanem, RG",2004,Spectral stochastic homogenization of divergence-type PDEs,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,1.0,https://dx.doi.org/10.1016/j.cma.2003.05.001
"Hilding, D|Torstenfelt, B|Klarbring, A",2001,A computational methodology for shape optimization of structures in frictionless contact,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,0.82,https://dx.doi.org/10.1016/S0045-7825(00)00310-8
"Raissi, M|Perdikaris, P|Karniadakis, GE",2017,Inferring solutions of differential equations using noisy multi-fidelity data,JOURNAL OF COMPUTATIONAL PHYSICS,14,14.0,https://dx.doi.org/10.1016/j.jcp.2017.01.060
"Estep, D|Neckels, D",2006,Fast and reliable methods for determining the evolution of uncertain parameters in differential equations,JOURNAL OF COMPUTATIONAL PHYSICS,14,1.17,https://dx.doi.org/10.1016/j.jcp.2005.08.024
"Keshavarzzadeh, V|Fernandez, F|Tortorelli, DA",2017,Topology optimization under uncertainty via non-intrusive polynomial chaos expansion,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,14.0,https://dx.doi.org/10.1016/j.cma.2017.01.019
"Kang, Z|Wang, YG|Wang, YQ",2016,Structural topology optimization with minimum distance control of multiphase embedded components by level set method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,7.0,https://dx.doi.org/10.1016/j.cma.2016.04.001
"Medici, C|Wade, AJ|Frances, F",2012,Does increased hydrochemical model complexity decrease robustness?,JOURNAL OF HYDROLOGY,14,2.33,https://dx.doi.org/10.1016/j.jhydrol.2012.02.047
"Abraham, S|Raisee, M|Ghorbaniasl, G|Contino, F|Lacor, C",2017,A robust and efficient stepwise regression method for building sparse polynomial chaos expansions,JOURNAL OF COMPUTATIONAL PHYSICS,14,14.0,https://dx.doi.org/10.1016/j.jcp.2016.12.015
"Konakli, K|Sudret, B",2016,Polynomial meta-models with canonical low-rank approximations: Numerical insights and comparison to sparse polynomial chaos expansions,JOURNAL OF COMPUTATIONAL PHYSICS,14,7.0,https://dx.doi.org/10.1016/j.jcp.2016.06.005
"Tripathy, R|Bilionis, I|Gonzalez, M",2016,Gaussian processes with built-in dimensionality reduction: Applications to high-dimensional uncertainty propagation,JOURNAL OF COMPUTATIONAL PHYSICS,14,7.0,https://dx.doi.org/10.1016/j.jcp.2016.05.039
"Witteveen, JAS|Bijl, H",2009,Effect of randomness on multi-frequency aeroelastic responses resolved by Unsteady Adaptive Stochastic Finite Elements,JOURNAL OF COMPUTATIONAL PHYSICS,14,1.56,https://dx.doi.org/10.1016/j.jcp.2009.06.013
"Wang, P|Tartakovsky, DM",2012,Uncertainty quantification in kinematic-wave models,JOURNAL OF COMPUTATIONAL PHYSICS,14,2.33,https://dx.doi.org/10.1016/j.jcp.2012.07.030
"Dai, H|Ye, M",2015,Variance-based global sensitivity analysis for multiple scenarios and models with implementation using sparse grid collocation,JOURNAL OF HYDROLOGY,14,4.67,https://dx.doi.org/10.1016/j.jhydrol.2015.06.034
"Chen, P|Zabaras, N|Bilionis, I",2015,Uncertainty propagation using infinite mixture of Gaussian processes and variational Bayesian inference,JOURNAL OF COMPUTATIONAL PHYSICS,14,4.67,https://dx.doi.org/10.1016/j.jcp.2014.12.028
"Blasques, JP|Stolpe, M",2011,Maximum stiffness and minimum weight optimization of laminated composite beams using continuous fiber angles,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,14,2.0,https://dx.doi.org/10.1007/s00158-010-0592-9
"Hsu, Y|Anderson, KS",2002,Recursive sensitivity analysis for constrained multi-rigid-body dynamic systems design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,14,0.88,https://dx.doi.org/10.1007/s00158-002-0242-y
"Hills, RG|Dowding, KJ",2008,Multivariate approach to the thermal challenge problem,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,13,1.3,https://dx.doi.org/10.1016/j.cma.2007.09.027
"Ganapathysubramanian, S|Zabaras, N",2003,Computational design of deformation processes for materials with ductile damage,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,13,0.87,https://dx.doi.org/10.1016/S0045-7825(02)00538-8
"Jiang, Y|Liu, CM|Li, XY|Liu, LF|Wang, HR",2015,"Rainfall-runoff modeling, parameter estimation and sensitivity analysis in a semiarid catchment",ENVIRONMENTAL MODELLING & SOFTWARE,13,4.33,https://dx.doi.org/10.1016/j.envsoft.2015.01.008
"Petropoulos, GP|Griffiths, HM|Tarantola, S",2013,A sensitivity analysis of the SimSphere SVAT model in the context of EO-based operational products development,ENVIRONMENTAL MODELLING & SOFTWARE,13,2.6,https://dx.doi.org/10.1016/j.envsoft.2013.07.010
"Zhang, GD|Li, L|Khandelwal, K",2017,Topology optimization of structures with anisotropic plastic materials using enhanced assumed strain elements,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,13,13.0,https://dx.doi.org/10.1007/s00158-016-1612-1
"Liu, GR|Zaw, K|Wang, YY",2008,Rapid inverse parameter estimation using reduced-basis approximation with asymptotic error estimation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,13,1.3,https://dx.doi.org/10.1016/j.cma.2008.03.012
"Xu, MH|Du, JK|Wang, C|Li, YL",2017,Hybrid uncertainty propagation in structural-acoustic systems based on the polynomial chaos expansion and dimension-wise analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,13,13.0,https://dx.doi.org/10.1016/j.cma.2017.03.026
"Stavroulakis, G|Giovanis, DG|Papadrakakis, M|Papadopoulos, V",2014,A new perspective on the solution of uncertainty quantification and reliability analysis of large-scale problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,13,3.25,https://dx.doi.org/10.1016/j.cma.2014.03.009
"Ganesh, M|Hesthaven, JS|Stamm, B",2012,A reduced basis method for electromagnetic scattering by multiple particles in three dimensions,JOURNAL OF COMPUTATIONAL PHYSICS,13,2.17,https://dx.doi.org/10.1016/j.jcp.2012.07.008
"Ketabchi, H|Ataie-Ashtiani, B",2015,Assessment of a parallel evolutionary optimization approach for efficient management of coastal aquifers,ENVIRONMENTAL MODELLING & SOFTWARE,13,4.33,https://dx.doi.org/10.1016/j.envsoft.2015.09.002
"Lu, Y|Qin, XS",2014,Multisite rainfall downscaling and disaggregation in a tropical urban area,JOURNAL OF HYDROLOGY,13,3.25,https://dx.doi.org/10.1016/j.jhydrol.2013.11.027
"Sankaran, S|Humphrey, JD|Marsden, AL",2013,An efficient framework for optimization and parameter sensitivity analysis in arterial growth and remodeling computations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,2.4,https://dx.doi.org/10.1016/j.cma.2012.12.013
"Sun, M|Zhang, XL|Huo, ZL|Feng, SY|Huang, GH|Mao, XM",2016,Uncertainty and sensitivity assessments of an agricultural-hydrological model (RZWQM2) using the GLUE method,JOURNAL OF HYDROLOGY,12,6.0,https://dx.doi.org/10.1016/j.jhydrol.2015.12.045
"Raghavan, B|Xia, L|Breitkopf, P|Rassineux, A|Villon, P",2013,Towards simultaneous reduction of both input and output spaces for interactive simulation-based structural design,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,2.4,https://dx.doi.org/10.1016/j.cma.2013.06.010
"Estep, D|Neckels, D",2007,Fast methods for determining the evolution of uncertain parameters in reaction-diffusion equations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,1.09,https://dx.doi.org/10.1016/j.cma.2006.10.048
"Madireddy, S|Sista, B|Vemaganti, K",2015,A Bayesian approach to selecting hyperelastic constitutive models of soft tissue,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,4.0,https://dx.doi.org/10.1016/j.cma.2015.03.012
"Ohsaki, M",2005,Design sensitivity analysis and optimization for nonlinear buckling of finite-dimensional elastic conservative structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,0.92,https://dx.doi.org/10.1016/j.cma.2004.12.021
"Zhang, J|Taflanidis, AA|Medina, JC",2017,Sequential approximate optimization for design under uncertainty problems utilizing Kriging metamodeling in augmented input space,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,12,12.0,https://dx.doi.org/10.1016/j.cma.2016.10.042
"Lu, F|Morzfeld, M|Tu, XM|Chorin, AJ",2015,Limitations of polynomial chaos expansions in the Bayesian solution of inverse problems,JOURNAL OF COMPUTATIONAL PHYSICS,12,4.0,https://dx.doi.org/10.1016/j.jcp.2014.11.010
"Cho, H|Venturi, D|Karniadakis, GE",2016,Numerical methods for high-dimensional probability density function equations,JOURNAL OF COMPUTATIONAL PHYSICS,12,6.0,https://dx.doi.org/10.1016/j.jcp.2015.10.030
"Deng, JD|Chen, W",2017,Concurrent topology optimization of multiscale structures with multiple porous materials under random field loading uncertainty,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,12.0,https://dx.doi.org/10.1007/s00158-017-1689-1
"Yang, XW|Li, YM",2013,Topology optimization to minimize the dynamic compliance of a bi-material plate in a thermal environment,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,2.4,https://dx.doi.org/10.1007/s00158-012-0831-3
"Magri, L|Bauerheim, M|Nicoud, F|Juniper, MP",2016,Stability analysis of thermo-acoustic nonlinear eigenproblems in annular combustors. Part II. Uncertainty quantification,JOURNAL OF COMPUTATIONAL PHYSICS,12,6.0,https://dx.doi.org/10.1016/j.jcp.2016.08.043
"Jin, BT|Zou, J",2010,Hierarchical Bayesian inference for Ill-posed problems via variational method,JOURNAL OF COMPUTATIONAL PHYSICS,12,1.5,https://dx.doi.org/10.1016/j.jcp.2010.06.016
"Groff, SC|Loftin, CS|Drummond, F|Bushmann, S|McGill, B",2016,"Parameterization of the InVEST Crop Pollination Model to spatially predict abundance of wild blueberry (Vaccinium angustifolium Aiton) native bee pollinators in Maine, USA",ENVIRONMENTAL MODELLING & SOFTWARE,12,6.0,https://dx.doi.org/10.1016/j.envsoft.2016.01.003
"Meng, H|Green, TR|Saias, JD|Ahuja, LR",2008,Development and testing of a terrain-based hydrologic model for spatial Hortonian Infiltration and Runoff/On,ENVIRONMENTAL MODELLING & SOFTWARE,12,1.2,https://dx.doi.org/10.1016/j.envsoft.2007.09.014
"Leube, PC|de Barros, FPJ|Nowak, W|Rajagopal, R",2013,"Towards optimal allocation of computer resources: Trade-offs between uncertainty quantification, discretization and model reduction",ENVIRONMENTAL MODELLING & SOFTWARE,12,2.4,https://dx.doi.org/10.1016/j.envsoft.2013.08.008
"Weickum, G|Eldred, MS|Maute, K",2009,A multi-point reduced-order modeling approach of transient structural dynamics with application to robust design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,1.33,https://dx.doi.org/10.1007/s00158-008-0309-5
"Goderniaux, P|Brouyere, S|Wildemeersch, S|Therrien, R|Dassargues, A",2015,Uncertainty of climate change impact on groundwater reserves - Application to a chalk aquifer,JOURNAL OF HYDROLOGY,12,4.0,https://dx.doi.org/10.1016/j.jhydrol.2015.06.018
"Guse, B|Thieken, AH|Castellarin, A|Merz, B",2010,Deriving probabilistic regional envelope curves with two pooling methods,JOURNAL OF HYDROLOGY,12,1.5,https://dx.doi.org/10.1016/j.jhydrol.2009.10.010
"Berezowski, T|Chormanski, J|Batelaan, O",2015,Skill of remote sensing snow products for distributed runoff prediction,JOURNAL OF HYDROLOGY,12,4.0,https://dx.doi.org/10.1016/j.jhydrol.2015.03.025
"von Gunten, D|Wohling, T|Haslauer, C|Merchan, D|Causape, J|Cirpka, OA",2014,Efficient calibration of a distributed pde-based hydrological model using grid coarsening,JOURNAL OF HYDROLOGY,12,3.0,https://dx.doi.org/10.1016/j.jhydrol.2014.10.025
"Shi, Y|Lu, ZZ|Cheng, K|Zhou, YC",2017,Temporal and spatial multi-parameter dynamic reliability and global reliability sensitivity analysis based on the extreme value moments,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,12.0,https://dx.doi.org/10.1007/s00158-017-1651-2
"Lu, B|Ou, HA|Cui, ZS",2011,Shape optimisation of preform design for precision close-die forging,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,1.71,https://dx.doi.org/10.1007/s00158-011-0668-1
"Xia, L|Zhu, JH|Zhang, WH",2012,A superelement formulation for the efficient layout design of complex multi-component system,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,12,2.0,https://dx.doi.org/10.1007/s00158-011-0720-1
"Haas, MB|Guse, B|Pfannerstill, M|Fohrer, N",2016,A joined multi-metric calibration of river discharge and nitrate loads with different performance measures,JOURNAL OF HYDROLOGY,11,5.5,https://dx.doi.org/10.1016/j.jhydrol.2016.03.001
"Ballarin, F|Faggiano, E|Ippolito, S|Manzoni, A|Quarteroni, A|Rozza, G|Scrofani, R",2016,Fast simulations of patient-specific haemodynamics of coronary artery bypass grafts based on a POD-Galerkin method and a vascular shape parametrization,JOURNAL OF COMPUTATIONAL PHYSICS,11,5.5,https://dx.doi.org/10.1016/j.jcp.2016.03.065
"Acosta, S|Puelz, C|Riviere, B|Penny, DJ|Rusin, CG",2015,Numerical method of characteristics for one-dimensional blood flow,JOURNAL OF COMPUTATIONAL PHYSICS,11,3.67,https://dx.doi.org/10.1016/j.jcp.2015.03.045
"Meixner, T|Gutmann, C|Bales, R|Leydecker, A|Sickman, J|Melack, J|McConnell, J",2004,Multidecadal hydrochemical response of a Sierra Nevada watershed: sensitivity to weathering rate and changes in deposition,JOURNAL OF HYDROLOGY,11,0.79,https://dx.doi.org/10.1016/j.jhydrol.2003.09.005
"Qi, W|Zhang, C|Fu, GT|Zhou, HC",2016,Quantifying dynamic sensitivity of optimization algorithm parameters to improve hydrological model calibration,JOURNAL OF HYDROLOGY,11,5.5,https://dx.doi.org/10.1016/j.jhydrol.2015.11.052
"Jodei, J|Ebrahimi, M|Roshanian, J",2009,Multidisciplinary design optimization of a small solid propellant launch vehicle using system sensitivity analysis,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,11,1.22,https://dx.doi.org/10.1007/s00158-008-0260-5
"Lim, J|Lee, B",2016,A semi-single-loop method using approximation of most probable point for reliability-based design optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,11,5.5,https://dx.doi.org/10.1007/s00158-015-1351-8
"Ersoy, H|Mugan, A",2002,Design sensitivity analysis of structures based upon the singular value decomposition,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,11,0.69,https://dx.doi.org/10.1016/S0045-7825(02)00259-1
"Karagiannis, G|Lin, G",2014,Selection of polynomial chaos bases via Bayesian model uncertainty methods with applications to sparse approximation of PDEs with stochastic inputs,JOURNAL OF COMPUTATIONAL PHYSICS,11,2.75,https://dx.doi.org/10.1016/j.jcp.2013.11.016
"Yoo, D|Lee, I|Cho, H",2014,Probabilistic sensitivity analysis for novel second-order reliability method (SORM) using generalized chi-squared distribution,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,11,2.75,https://dx.doi.org/10.1007/s00158-014-1081-3
"Tayyebi, A|Tayyebi, AH|Arsanjani, JJ|Moghadam, HS|Omrani, H",2016,FSAUA: A framework for sensitivity analysis and uncertainty assessment in historical and forecasted land use maps,ENVIRONMENTAL MODELLING & SOFTWARE,11,5.5,https://dx.doi.org/10.1016/j.envsoft.2016.06.018
"Della Peruta, R|Keller, A|Schulin, R",2014,"Sensitivity analysis, calibration and validation of EPIC for modelling soil phosphorus dynamics in Swiss agro-ecosystems",ENVIRONMENTAL MODELLING & SOFTWARE,11,2.75,https://dx.doi.org/10.1016/j.envsoft.2014.08.018
"Gonzalez, PB|Aguilera-Benavente, F|Gomez-Delgado, M",2015,Partial validation of cellular automata based model simulations of urban growth: An approach to assessing factor influence using spatial methods,ENVIRONMENTAL MODELLING & SOFTWARE,11,3.67,https://dx.doi.org/10.1016/j.envsoft.2015.03.008
"Katiyar, N|Hossain, F",2007,An open-book watershed model for prototyping space-borne flood monitoring systems in International River Basins,ENVIRONMENTAL MODELLING & SOFTWARE,11,1.0,https://dx.doi.org/10.1016/j.envsoft.2006.12.005
"Spank, U|Schwarzel, K|Renner, M|Moderow, U|Bernhofer, C",2013,Effects of measurement uncertainties of meteorological data on estimates of site water balance components,JOURNAL OF HYDROLOGY,11,2.2,https://dx.doi.org/10.1016/j.jhydrol.2013.03.047
"Samaras, S|Nicolae, D|Bockmann, C|Vasilescu, J|Binietoglou, I|Labzovskii, L|Toanca, F|Papayannis, A",2015,Using Raman-lidar-based regularized microphysical retrievals and Aerosol Mass Spectrometer measurements for the characterization of biomass burning aerosols,JOURNAL OF COMPUTATIONAL PHYSICS,10,3.33,https://dx.doi.org/10.1016/j.jcp.2015.06.045
"Le Maitre, OP|Knio, OM",2007,A stochastic particle-mesh scheme for uncertainty propagation in vortical flows,JOURNAL OF COMPUTATIONAL PHYSICS,10,0.91,https://dx.doi.org/10.1016/j.jcp.2007.04.030
"Margheri, L|Sagaut, P",2016,A hybrid anchored-ANOVA - POD/Kriging method for uncertainty quantification in unsteady high-fidelity CFD simulations,JOURNAL OF COMPUTATIONAL PHYSICS,10,5.0,https://dx.doi.org/10.1016/j.jcp.2016.07.036
"Cioaca, A|Sandu, A",2014,An optimization framework to improve 4D-Var data assimilation system performance,JOURNAL OF COMPUTATIONAL PHYSICS,10,2.5,https://dx.doi.org/10.1016/j.jcp.2014.07.005
"Schreiner, SP|Krebs, TA|Strebel, DE|Brindley, A",2002,Testing the CORMIX model using thermal plume data from four Maryland power plants,ENVIRONMENTAL MODELLING & SOFTWARE,10,0.62,https://dx.doi.org/10.1016/S1364-8152(01)00065-2
"Hadjidoukas, PE|Angelikopoulos, P|Rossinelli, D|Alexeev, D|Papadimitriou, C|Koumoutsakos, P",2014,Bayesian uncertainty quantification and propagation for discrete element simulations of granular materials,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,10,2.5,https://dx.doi.org/10.1016/j.cma.2014.07.017
"Zokagoa, JM|Soulaimani, A",2012,A POD-based reduced-order model for free surface shallow water flows over real bathymetries for Monte-Carlo-type applications,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,10,1.67,https://dx.doi.org/10.1016/j.cma.2011.11.012
"Subber, W|Sarkar, A",2013,Dual-primal domain decomposition method for uncertainty quantification,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,10,2.0,https://dx.doi.org/10.1016/j.cma.2013.07.007
"Jensen, HA|Mayorga, F|Valdebenito, MA",2015,Reliability sensitivity estimation of nonlinear structural systems under stochastic excitation: A simulation-based approach,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,10,3.33,https://dx.doi.org/10.1016/j.cma.2015.01.012
"Hauseux, P|Hale, JS|Bordas, SPA",2017,Accelerating Monte Carlo estimation with derivatives of high-level finite element models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,10,10.0,https://dx.doi.org/10.1016/j.cma.2017.01.041
"Huang, XM|Liao, WH|Lei, XH|Jia, YW|Wang, YH|Wang, X|Jiang, YZ|Wang, H",2014,Parameter optimization of distributed hydrological model with a modified dynamically dimensioned search algorithm,ENVIRONMENTAL MODELLING & SOFTWARE,10,2.5,https://dx.doi.org/10.1016/j.envsoft.2013.09.028
