AU,year,title,journal,citations,Avg. Citations,abstract,DOI,DOI link
"Raissi, M | Perdikaris, P | Karniadakis, GE",2017,Machine learning of linear differential equations using Gaussian processes,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,9,9.0,"This work leverages recent advances in probabilistic machine learning to discover governing equations expressed by parametric linear operators. Such equations involve, but are not limited to, ordinary and partial differential, integro-differential, and fractional order operators. Here, Gaussian process priors are modified according to the particular form of such operators and are employed to infer parameters of the linear equations from scarce and possibly noisy observations. Such observations may come from experiments or ""blackbox"" computer simulations, as demonstrated in several synthetic examples and a realistic application in functional genomics.",10.1016/j.jcp.2017.07.050,https://dx.doi.org/10.1016/j.jcp.2017.07.050
"Venturi, D | Karniadakis, GE",2012,New evolution equations for the joint response-excitation probability density function of stochastic solutions to first-order nonlinear PDEs,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,9,1.5,"By using functional integral methods we determine new evolution equations satisfied by the joint response-excitation probability density function (PDF) associated with the stochastic solution to first-order nonlinear partial differential equations (PDEs). The theory is presented for both fully nonlinear and for quasilinear scalar PDEs subject to random boundary conditions, random initial conditions or random forcing terms. Particular applications are discussed for the classical linear and nonlinear advection equations and for the advection-reaction equation. By using a Fourier-Galerkin spectral method we obtain numerical solutions of the proposed response-excitation PDF equations. These numerical solutions are compared against those obtained by using more conventional statistical approaches such as probabilistic collocation and multi-element probabilistic collocation methods. It is found that the response-excitation approach yields accurate predictions of the statistical properties of the system. In addition, it allows to directly ascertain the tails of probabilistic distributions, thus facilitating the assessment of rare events and associated risks. The computational cost of the response-excitation method is order magnitudes smaller than the one of more conventional statistical approaches if the PDE is subject to high-dimensional random boundary or initial conditions. The question of high-dimensionality for evolution equations involving multidimensional joint response-excitation PDFs is also addressed.",10.1016/j.jcp.2012.07.013,https://dx.doi.org/10.1016/j.jcp.2012.07.013
"Long, XY | Jiang, C | Yang, C | Han, X | Gao, W | Liu, J",2016,A stochastic scaled boundary finite element method,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,4.5,"By extending the existing scaled boundary finite element method (SBFEM) into the random field problem, a stochastic scaled boundary finite element method (SSBFEM) is developed in this paper to predict the structural responses with randomly distributed material properties. The analyzed domain is discretized into a number of polygons modeled as sub-domains of the SBFEM so that the non-homogeneous material properties are possible to be considered in establishment of the constitutive equation. The random field represented by the Karhunen-Loeve (KL) expansion is then directly incorporated into both the equilibrium equation of the SBFEM and its sensitivity analysis formulation. The perturbation method is employed to calculate the statistical moments of the structural responses and a semi-analytical sensitivity analysis method is used to efficiently calculate the gradients involved. Particularly, the proposed method is successfully applied to the stochastic fracture analysis with spatially varying random material properties. Four numerical examples are investigated to demonstrate the validity of the proposed method.",10.1016/j.cma.2016.04.037,https://dx.doi.org/10.1016/j.cma.2016.04.037
"Nguyen, QA | Tong, LY | Gu, YX",2007,Evolutionary piezoelectric actuators design optimisation for static shape control of smart plates,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,0.82,"This paper presents a new evolutionary algorithm to solve various structural shape control problems of smart composite plate structures with active piezoelectric actuators. The linear least square (LLS) method and the features of evolutionary strategies are employed to find the applied voltages and shapes for the active piezoelectric actuators, respectively, in order to achieve the desired structural shapes by gradually removing the active piezoelectric material part of the element based on the error function sensitivity number. In the finite element (FE) analysis, an error function sensitivity number, including electro-mechanical effect, is one derived to compute the change in error functions that are defined in terms of least square difference between calculated and desired structural shapes. The evolutionary piezoelectric actuator design optimisation (EPADO) is proposed here to optimise the active piezoelectric actuator shape at a given applied voltage. Finally, several numerical examples are presented to verify that the proposed algorithm improves structural shape control by reducing the error function.",10.1016/j.cma.2007.07.018,https://dx.doi.org/10.1016/j.cma.2007.07.018
"Kleuter, B | Menzel, A | Steinmann, P",2007,Generalized parameter identification for finite viscoelasticity,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,0.82,"Elastomeric and other rubber-like materials are often simultaneously exposed to short- and long-time loads within engineering applications. When aiming at establishing a general simulation tool for viscoelastic media over these different time scales, a suitable material model and its corresponding material parameters can only be determined if an appropriate number of experimental data is taken into account. In this work we present an algorithm for the identification of material parameters for large strain viscoelasticity in which data of multiple experiments are considered. Based on this method the experimental loading intervals for long-time experiments can be shortened in time and the parameter identification procedure is now referred to experimental data of tests under short- and long-time loads without separating the parameters due to these different time scales. The employed viscoelastic material law is based on a nonlinear evolution law and valid far from thermodynamic equilibrium. The identification is carried out by minimizing a least squares functional comparing inhomogeneous displacement fields from experiments and FEM simulations at given (measured) force loads. Within this optimization procedure all material parameters are identified simultaneously by means of a gradient based method for which a semi-analytical sensitivity analysis is calculated. A representative numerical example is referred to measured data based on short-time and long-time tests of a non-cellular polyurethane. As an advantage, the developed identification scheme renders solely one single set of material parameters.",10.1016/j.cma.2007.03.010,https://dx.doi.org/10.1016/j.cma.2007.03.010
"Rao, BN | Rahman, S",2005,Continuum shape sensitivity analysis of a mixed-mode fracture in functionally graded materials,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,0.69,"This paper presents two new methods for conducting a continuum shape sensitivity analysis of a crack in an isotropic, linear-elastic functionally graded material. These methods involve the material derivative concept from continuum mechanics, domain integral representation of interaction integrals, known as the M-integral, and direct differentiation. Unlike virtual crack extension techniques, no mesh perturbation is needed to calculate the sensitivity of stress-intensity factors. Since the governing variational equation is differentiated prior to the process of discretization, the resulting sensitivity equations are independent of approximate numerical techniques, such as the meshless method, finite element method, boundary element method, or others. Three numerical examples are presented to calculate the first-order derivative of the stress-intensity factors. The results show that first-order sensitivities of stress intensity factors obtained using the proposed method are in excellent agreement with the reference solutions obtained using the finite-difference method for the structural and crack geometries considered in this study.",10.1016/j.cma.2004.06.027,https://dx.doi.org/10.1016/j.cma.2004.06.027
"Hutton, C | Brazier, R",2012,"Quantifying riparian zone structure from airborne LiDAR: Vegetation filtering, anisotropic interpolation, and uncertainty propagation",Applications_JOURNAL OF HYDROLOGY,9,1.5,"Advances in remote sensing technology, notably in airborne Light Detection And Ranging (LiDAR), have facilitated the acquisition of high-resolution topographic and vegetation datasets over increasingly large areas. Whilst such datasets may provide quantitative information on surface morphology and vegetation structure in riparian zones, existing approaches for processing raw LiDAR data perform poorly in riparian channel environments. A new algorithm for separating vegetation from topography in raw LiDAR data, and the performance of the Elliptical Inverse Distance Weighting (EIDW) procedure for interpolating the remaining ground points, are evaluated using data derived from a semi-arid ephemeral river. The filtering procedure, which first applies a threshold (either slope or elevation) to classify vegetation highpoints, and second a regional growing algorithm from these high-points, avoids the classification of high channel banks as vegetation, preserving existing channel morphology for subsequent interpolation (.-.% calibration error; .-.% error in evaluation for slope threshold). EIDW, which accounts for surface anisotropy by converting the remaining elevation points to streamwise co-ordinates, can outperform isoptropic interpolation (IDW) on channel banks, however, performs less well in isotropic conditions, and when local anisotropy is different to that of the main channel. A key finding of this research is that filtering parameter uncertainty affects the performance of the interpolation procedure; resultant errors may propagate into the Digital Elevation Model (DEM) and subsequently derived products, such as Canopy Height Models (CHMs). Consequently, it is important that this uncertainty is assessed. Understanding and developing methods to deal with such errors is important to inform users of the true quality of laser scanning products, such that they can be used effectively in hydrological applications.",10.1016/j.jhydrol.2012.03.043,https://dx.doi.org/10.1016/j.jhydrol.2012.03.043
"Rajabi, MM | Ataie-Ashtiani, B",2016,Efficient fuzzy Bayesian inference algorithms for incorporating expert knowledge in parameter estimation,Applications_JOURNAL OF HYDROLOGY,9,4.5,"Bayesian inference has traditionally been conceived as the proper framework for the formal incorporation of expert knowledge in parameter estimation of groundwater models. However, conventional Bayesian inference is incapable of taking into account the imprecision essentially embedded in expert provided information. In order to solve this problem, a number of extensions to conventional Bayesian inference have been introduced in recent years. One of these extensions is 'fuzzy Bayesian inference' which is the result of integrating fuzzy techniques into Bayesian statistics. Fuzzy Bayesian inference has a number of desirable features which makes it an attractive approach for incorporating expert knowledge in the parameter estimation process of groundwater models: () it is well adapted to the nature of expert provided information, () it allows to distinguishably model both uncertainty and imprecision, and () it presents a framework for fusing expert provided information regarding the various inputs of the Bayesian inference algorithm. However an important obstacle in employing fuzzy Bayesian inference in groundwater numerical modeling applications is the computational burden, as the required number of numerical model simulations often becomes extremely exhaustive and often computationally infeasible. In this paper, a novel approach of accelerating the fuzzy Bayesian inference algorithm is proposed which is based on using approximate posterior distributions derived from surrogate modeling, as a screening tool in the computations. The proposed approach is first applied to a synthetic test case of seawater intrusion (SWI) in a coastal aquifer. It is shown that for this synthetic test case, the proposed approach decreases the number of required numerical simulations by an order of magnitude. Then the proposed approach is applied to a real-world test case involving three-dimensional numerical modeling of SWI in Kish Island, located in the Persian Gulf. An expert elicitation methodology is developed and applied to the real-world test case in order to provide a road map for the use of fuzzy Bayesian inference in groundwater modeling applications.",10.1016/j.jhydrol.2016.02.029,https://dx.doi.org/10.1016/j.jhydrol.2016.02.029
"Hasselman, T | Lloyd, G",2008,"A top-down approach to calibration, validation, uncertainty quantification and predictive accuracy assessment",Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,9,0.9,"This paper describes a ""top-down"" uncertainty quantification (UQ) approach for calibration, validation and predictive accuracy assessment of the SNL Validation Workshop Structural Dynamics Challenge Problem. The top-down UQ approach differs from the more conventional (""bottom-up"") approach in that correlated statistical analysis is performed directly with the modal characteristics (frequencies, mode shapes and damping ratios) rather than using the modal characteristics to derive the statistics of physical model parameters (springs, masses and viscous damping elements in the present application). In this application, a stochastic subsystem model is coupled with a deterministic subsystem model to analyze stochastic system response to stochastic forcing functions. The weak nonlinearity of the stochastic subsystem was characterized by testing it at three different input levels, low, medium and high. The calibrated subsystem models were validated with additional test data using published NASA and Air Force validation criteria. The validated subsystem models were first installed in the accreditation test bed where system response simulations involving stochastic shock-type force inputs were conducted. The validated stochastic subsystem model was then installed in the target application and simulations involving limited duration segments of stationary random vibration excitation were conducted.",10.1016/j.cma.2007.07.031,https://dx.doi.org/10.1016/j.cma.2007.07.031
"Duan, ZY | Yan, J | Zhao, GZ",2015,Integrated optimization of the material and structure of composites based on the Heaviside penalization of discrete material model,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,3.0,"Based on discrete material optimization and topology optimization technologies, this paper discusses the problem of integrated optimization design of the material and structure of fiber-reinforced composites by considering the characteristics of the discrete variable of fiber ply angle because of the manufacture requirements. An optimization model based on the minimum structural compliance with a specified composite volume constraint is established. The ply angle and the distribution of the composite material are introduced as independent variables in two geometric scales (material and structural scales). The void material is added into the optional discrete material set to realize the topology change of the structure. This paper proposes an improved HPDMO (Heaviside Penalization of Discrete Material Optimization) model to obtain a better convergent result, and an explicit sensitivity analysis is performed. The effects of the HPDMO model on the convergence rate of the optimization results, the objective function value and the iteration history are studied and compared with those from the classical Discrete Material Optimization model and the Continuous Discrete Material Optimization model in this paper. Numerical examples in this paper show that the HPDMO model can effectively achieve the integrated optimization of the fiber ply angle and its distribution in the structural domain, and can also considerably improve the convergence rate of the optimal results compared with other DMO models. This model will help to reduce the manufacture cost of the optimal design.",10.1007/s00158-014-1168-x,https://dx.doi.org/10.1007/s00158-014-1168-x
"Yang, XW | Li, YM",2014,Structural topology optimization on dynamic compliance at resonance frequency in thermal environments,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,9,2.25,"This paper [r] carries out topology optimization to minimize structural dynamic compliance at resonance frequencies in thermal environments. The resonance response is the main dynamic component, minimization of which could possibly change structural dynamic characteristics significantly. A bi-material square plate subjected to uniform temperature rise and driven by harmonic load is investigated in pre-buckling state. The compressive stress induced by thermal environment is considered as pre-stress in dynamic analysis, which could reduce stiffness of the structure and alter the optimal topology. Sensitivity analysis is carried out through adjoint method efficiently. As natural frequencies are constantly changing during the optimization, the associated sensitivity should be calculated in which multiple-frequency case is briefly discussed. Mode switching may occur during the optimization, and mode tracking technique is adopted. Numerical results show that the topology is mainly determined by the excited modes, and could be altered by the location of the applied load if different modes are excited. The natural frequencies become larger in optimal design and the dynamic compliance decreases in nearby frequency band. The critical buckling temperature increases as optimization proceeds, indicating the structure is always in pre-buckling state.",10.1007/s00158-013-0961-2,https://dx.doi.org/10.1007/s00158-013-0961-2
"Clenet, S | Ida, N",2010,Error estimation in a stochastic finite element method in electrokinetics,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,9,1.12,"Input data to a numerical model are not necessarily well known. Uncertainties may exist both in material properties and in the geometry of the device. They can be due, for instance, to ageing or imperfections in the manufacturing process. Input data can be modelled as random variables leading to a stochastic model. In electromagnetism, this leads to solution of a stochastic partial differential equation system. The Solution can be approximated by a linear combination of basis functions rising from the tensorial product of the basis functions used to discretize the space (nodal shape function for example) and basis functions used to discretize the random dimension (a polynomial chaos expansion for example). Some methods (SSFEM, collocation) have been proposed in the literature to calculate such approximation. The issue is then how to compare the different approaches in an objective way. One solution is to use all appropriate a posteriori numerical error estimator. In this paper, we present an error estimator based on the constitutive relation error in electrokinetics, which allows the calculation of the distance between an average solution and the unknown exact solution. The method of calculation of the error is detailed in this paper from two Solutions that satisfy the two equilibrium equations. In an example, we compare two different approximations (Legendre and Hermite polynomial chaos expansions) for the random dimension using the proposed error estimator. In addition, we show how to choose the appropriate order for the polynomial chaos expansion for the proposed error estimator.",10.1002/nme.2735,https://dx.doi.org/10.1002/nme.2735
"Long, XY | Jiang, C | Han, X | Gao, W | Bi, RG",2014,Sensitivity analysis of the scaled boundary finite element method for elastostatics,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,2.0,"As a semi-analytical structural analysis algorithm, the scaled boundary finite-element method (SBFEM) only discretizes the boundary of the analyzed domain without the need of fundamental solutions, which makes it powerful for problems with stress singularity or unbounded foundation media. In this paper, a sensitivity analysis method of SBFEM is proposed for elastostatics, through which the first order derivatives of the structural responses with respect to the design parameters can be obtained efficiently and accurately. An approach is suggested to compute the eigenvalue and eigenvector sensitivities of the Hamilton matrix, which are then used to calculate the analytical derivative of the stiffness matrix. Based on these calculations, the sensitivities of displacements and stresses are further obtained by a series of differential equations. The proposed sensitivity analysis method is also applied to the fracture mechanics problems. Three numerical examples are investigated to demonstrate the validity of the proposed method.",10.1016/j.cma.2014.03.005,https://dx.doi.org/10.1016/j.cma.2014.03.005
"Giusti, SM | Ferrer, A | Oliver, J",2016,Topological sensitivity analysis in heterogeneous anisotropic elasticity problem. Theoretical and computational aspects,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,4.0,"The topological sensitivity analysis for the heterogeneous and anisotropic elasticity problem in two-dimensions is performed in this work. The main result of the paper is an analytical closed-form of the topological derivative for the total potential energy of the problem. This derivative displays the sensitivity of the cost functional (the energy in this case) when a small singular perturbation is introduced in an arbitrary point of the domain. In this case, we consider a small disc with a completely different elastic material. Full mathematical justification for the derived formula, and derivations of precise estimates for the remainders of the topological asymptotic expansion are provided. Finally, the influence of the heterogeneity and anisotropy is shown through some numerical examples of structural topology optimization.",10.1016/j.cma.2016.08.004,https://dx.doi.org/10.1016/j.cma.2016.08.004
"Faes, M | Cerneels, J | Vandepitte, D | Moens, D",2017,Identification and quantification of multivariate interval uncertainty in finite element models,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,8,8.0,"The objective of this work is to develop and validate a methodology for the identification and quantification of multivariate interval uncertainty in finite element models. The principal idea is to find a solution to an inverse problem, where the variability on the output side of the model is known from measurement data, but the multivariate uncertainty on the input parameters is unknown. For this purpose, the uncertain simulation results set created by propagating interval uncertainty through the model is represented by its convex hull. The same concept is used to model the uncertainty in the measurements. A metric to describe the discrepancy between these convex hulls is defined based on the difference between their volumes and their mutual intersection. By minimisation of this metric, the interval uncertainty on the input side of the model is identified. It is further shown how the procedure can be optimised with respect to output quantity selection. Validation of the methodology is done using simulated measurement data in two case studies. Numerically exact identification of multiple, coupled parameters having interval uncertainty is possible following the proposed methodology. Furthermore, the robustness of the method with respect to the analyst's initial estimate of the input uncertainty is illustrated. The method presented in this work in se is generic, but for the examples in this paper, it is specifically applied to dynamic models, using eigenfrequencies as output quantities, as commonly applied in modal updating procedures.",10.1016/j.cma.2016.11.023,https://dx.doi.org/10.1016/j.cma.2016.11.023
"Lan, SW | Bui-Thanh, T | Christie, M | Girolami, M",2016,Emulation of higher-order tensors in manifold Monte Carlo methods for Bayesian Inverse Problems,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,8,4.0,"The Bayesian approach to Inverse Problems relies predominantly on Markov Chain Monte Carlo methods for posterior inference. The typical nonlinear concentration of posterior measure observed in many such Inverse Problems presents severe challenges to existing simulation based inference methods. Motivated by these challenges the exploitation of local geometric information in the form of covariant gradients, metric tensors, Levi-Civita connections, and local geodesic flows have been introduced to more effectively locally explore the configuration space of the posterior measure. However, obtaining such geometric quantities usually requires extensive computational effort and despite their effectiveness affects the applicability of these geometrically-based Monte Carlo methods. In this paper we explore one way to address this issue by the construction of an emulator of the model from which all geometric objects can be obtained in a much more computationally feasible manner. The main concept is to approximate the geometric quantities using a Gaussian Process emulator which is conditioned on a carefully chosen design set of configuration points, which also determines the quality of the emulator. To this end we propose the use of statistical experiment design methods to refine a potentially arbitrarily initialized design online without destroying the convergence of the resulting Markov chain to the desired invariant measure. The practical examples considered in this paper provide a demonstration of the significant improvement possible in terms of computational loading suggesting this is a promising avenue of further development.",10.1016/j.jcp.2015.12.032,https://dx.doi.org/10.1016/j.jcp.2015.12.032
"Yang, ZJ | Chen, X | Kelly, R",2012,A topological optimization approach for structural design of a high-speed low-load mechanism using the equivalent static loads method,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,1.33,"In high-speed low-load mechanisms, the principal loads are the inertial forces caused by the high accelerations and velocities. Hence, mechanical design should consider lightweight structures to minimize such loads. In this paper, a topological optimization method is presented on the basis of the equivalent static loads method. Finite element (FE) models of the mechanism in different positions are constructed, and the equivalent loads are obtained using flexible multibody dynamics simulation. Kinetic DOFs are used to simulate the motion joints, and a quasi-static analysis is performed to obtain the structural responses. The element sensitivity is calculated according to the static-load-equivalent equilibrium, in such a way that the influence on the inertial force is considered. A dimensionless component sensitivity factor (strain energy caused by unit load divided by kinetic energy from unit velocity) is used, which quantifies the significance of each element. Finally, the topological optimization approach is presented on the basis of the evolutionary structural optimization method, where the objective is to find the maximum ratio of strain energy to kinetic energy. In order to show the efficiency of the presented method, we presented two numerical cases. The results of these analyses show that the presented method is more efficient and can be easily implemented in commercial FE analysis software.",10.1002/nme.3253,https://dx.doi.org/10.1002/nme.3253
"Resmini, A | Peter, J | Lucor, D",2016,Sparse grids-based stochastic approximations with applications to aerodynamics sensitivity analysis,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,4.0,"This work compares sample-based polynomial surrogates, well suited for moderately high-dimensional stochastic problems. In particular, generalized polynomial chaos in its sparse pseudospectral form and stochastic collocation methods based on both isotropic and dimension-adapted sparse grids are considered. Both classes of approximations are compared, and an improved version of a stochastic collocation with dimension adaptivity driven by global sensitivity analysis is proposed. The stochastic approximations efficiency is assessed on multivariate test function and airfoil aerodynamics simulations. The latter study addresses the probabilistic characterization of global aerodynamic coefficients derived from viscous subsonic steady flow about a NACA airfoil in the presence of geometrical and operational uncertainties with both simplified aerodynamics model and Reynolds-Averaged Navier-Stokes (RANS) simulation. Sparse pseudospectral and collocation approximations exhibit similar level of performance for isotropic sparse simulation ensembles. Computational savings and accuracy gain of the proposed adaptive stochastic collocation driven by Sobol' indices are patent but remain problem-dependent.",10.1002/nme.5005,https://dx.doi.org/10.1002/nme.5005
"Langelaar, M | Yoon, GH | Kim, YY | van Keulen, F",2011,Topology optimization of planar shape memory alloy thermal actuators using element connectivity parameterization,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,1.14,"This paper presents the direct application of topology optimization to the design of shape memory alloy (SMA) thermal actuators. Because SMAs exhibit strongly nonlinear, temperature-dependent material behavior, designing effective multidimensional SMA actuator structures is a challenging task. We pursue the use of topology optimization to address this problem. Conventional material scaling topology optimization approaches are hampered by the complexity of the SMA constitutive behavior combined with large actuator deflections. Therefore, for topology optimization we employ the element connectivity parameterization approach, which offers improved analysis convergence and robustness, as well as an unambiguous treatment of nonlinear materials. A path-independent SMA constitutive model, aimed particularly at the NiTi R-phase transformation, is employed, allowing efficient adjoint sensitivity analysis. The effectiveness of the proposed SMA topology optimization is demonstrated by numerical examples of constrained and unconstrained formulations of actuator stroke maximization, which provide insight into the characteristics of optimal SMA actuators.",10.1002/nme.3199,https://dx.doi.org/10.1002/nme.3199
"Rahman, S | Ren, XC",2014,Novel computational methods for high-dimensional stochastic sensitivity analysis,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,2.0,"This paper presents three new computational methods for calculating design sensitivities of statistical moments and reliability of high-dimensional complex systems subject to random input. The first method represents a novel integration of the polynomial dimensional decomposition (PDD) of a multivariate stochastic response function and score functions. Applied to the statistical moments, the method provides mean-square convergent analytical expressions of design sensitivities of the first two moments of a stochastic response. The second and third methods, relevant to probability distribution or reliability analysis, exploit two distinct combinations built on PDD: the PDD-saddlepoint approximation (SPA) or PDD-SPA method, entailing SPA and score functions; and the PDD-Monte Carlo simulation (MCS) or PDD-MCS method, utilizing the embedded MCS of the PDD approximation and score functions. For all three methods developed, the statistical moments or failure probabilities and their design sensitivities are both determined concurrently from a single stochastic analysis or simulation. Numerical examples, including a -dimensional mathematical problem, indicate that the new methods developed provide not only theoretically convergent or accurate design sensitivities, but also computationally efficient solutions. A practical example involving robust design optimization of a three-hole bracket illustrates the usefulness of the proposed methods.",10.1002/nme.4659,https://dx.doi.org/10.1002/nme.4659
"Kaminski, M",2011,On semi-analytical probabilistic finite element method for homogenization of the periodic fiber-reinforced composites,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,1.14,"The main aim of this paper is a development of the semi-analytical probabilistic version of the finite element method (FEM) related to the homogenization problem. This approach is based on the global version of the response function method and symbolic integral calculation of basic probabilistic moments of the homogenized tensor and is applied in conjunction with the effective modules method. It originates from the generalized stochastic perturbation-based FEM, where Taylor expansion with random parameters is not necessary now and is simply replaced with the integration of the response functions. The hybrid computational implementation of the system MAPLE with homogenization-oriented FEM code MCCEFF is invented to provide probabilistic analysis of the homogenized elasticity tensor for the periodic fiber-reinforced composites. Although numerical illustration deals with a homogenization of a composite with material properties defined as Gaussian random variables, other composite parameters as well as other probabilistic distributions may be taken into account. The methodology is independent of the boundary value problem considered and may be useful for general numerical solutions using finite or boundary elements, finite differences or volumes as well as for meshless numerical strategies.",10.1002/nme.3097,https://dx.doi.org/10.1002/nme.3097
"Giner, E | Fuenmayor, FJ | Tarancon, JE",2004,An improvement of the EDI method in linear elastic fracture mechanics by means of an a posteriori error estimator in G,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,8,0.57,"In this paper, an error estimator that quantifies the effect of the finite element discretization error on the computation of the stress intensity factor in linear elastic fracture mechanics is presented. In order to obtain the proposed estimator, a shape design sensitivity analysis (SDSA) is applied to the fracture mechanics problem. Following this approach, one of the most efficient post-processing techniques for computing the strain energy release rate G, the well-known EDI method, may be interpreted as a continuum method of the SDSA. The proposed error estimator is based on the recovery of the gradient fields and its reliability has been checked by means of numerical problems, yielding very good estimations of the true error. The new estimator remarkably improves the results given by a previous error estimator, which is based on a discrete analytical approach of SDSA. As a consequence, the combination of the new error estimator and the result given by the EDI method provides a much more accurate estimation of G.",10.1002/nme.889,https://dx.doi.org/10.1002/nme.889
"Zhang, JP | Gong, SG | Huang, YQ | Qiu, AH | Chen, RK",2008,Structural dynamic shape optimization and sensitivity analysis based on RKPM,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,8,0.8,"A numerical method of structural dynamic shape optimization is presented by using reproducing kernel particle method (RKPM), by which the mesh distortion that exists in shape optimal method based on finite element can be eliminated completely and the optimal model for structural dynamic optimization design is built. The discreteness-based design sensitivity analysis in both natural frequency and dynamic response is proposed by using direct differentiation method and discrete derivatives on the basis of structural dynamic analysis, in which the penalty method is employed into imposing the essential boundary conditions, and the derivatives of shape functions with respect to design variables are derived. The algorithm of dynamic sensitivity analysis is testified by numerical example, and the numerical results obtained are in good agreement with those obtained using semi-analytical method and global finite differences method. Finally, by integrating the algorithm mentioned based on RKPM with parameterized descriptive method of boundary shape, two examples for structural dynamic shape optimization are performed.",10.1007/s00158-007-0166-7,https://dx.doi.org/10.1007/s00158-007-0166-7
"Saloranta, TM",2016,Operational snow mapping with simplified data assimilation using the seNorge snow model,Applications_JOURNAL OF HYDROLOGY,8,4.0,"Frequently updated maps of snow conditions are useful for many applications, e.g., for avalanche and flood forecasting services, hydropower energy situation analysis, as well as for the general public. Numerical snow models are often applied in snow map production for operational hydrological services. However, inaccuracies in the simulated snow maps due to model uncertainties and the lack of suitable data assimilation techniques to correct them in near-real time may often reduce the usefulness of the snow maps in operational use. In this paper the revised seNorge snow model (v...) for snow mapping is described, and a simplified data assimilation procedure is introduced to correct detected snow model biases in near real-time. The data assimilation procedure is theoretically based on the Bayesian updating paradigm and is meant to be pragmatic with modest computational and input data requirements. Moreover, it is flexible and can utilize both point-based snow depth and satellite-based areal snow-covered area observations, which are generally the most common data-sources of snow observations. The model and analysis codes as well as the ""R"" statistical software are freely available. All these features should help to lower the challenges and hurdles hampering the application of data-assimilation techniques in operational hydrological modeling. The steps of the data assimilation procedure (evaluation, sensitivity analysis, optimization) and their contribution to significantly increased accuracy of the snow maps are demonstrated with a case from eastern Norway in winter /.",10.1016/j.jhydrol.2016.03.061,https://dx.doi.org/10.1016/j.jhydrol.2016.03.061
"Ren, HY | Hou, ZS | Huang, MY | Bao, J | Sun, Y | Tesfa, T | Leung, LR",2016,Classification of hydrological parameter sensitivity and evaluation of parameter transferability across 431 US MOPEX basins,Applications_JOURNAL OF HYDROLOGY,8,4.0,"The Community Land Model (CLM) represents physical, chemical, and biological processes of the terrestrial ecosystems that interact with climate across a range of spatial and temporal scales. As CLM includes numerous sub-models and associated parameters, the high-dimensional parameter space presents a formidable challenge for quantifying uncertainty and improving Earth system predictions needed to assess environmental changes and risks. This study aims to evaluate the potential of transferring hydrologic model parameters in CLM through sensitivity analyses and classification across watersheds from the Model Parameter Estimation Experiment (MOPEX) in the United States. The sensitivity of CLM-simulated water and energy fluxes to hydrological parameters across  MOPEX basins are first examined using an efficient stochastic sampling-based sensitivity analysis approach. Linear, interaction, and high-order nonlinear impacts are all identified via statistical tests and stepwise backward removal parameter screening. The basins are then classified according to their parameter sensitivity patterns (internal attributes), as well as their hydrologic indices attributes (external hydrologic factors) separately, using Principal component analysis (PCA) and expectation-maximization (EM) - based clustering approach. Similarities and differences among the parameter sensitivity-based classification system (S-Class), the hydrologic indices-based classification (H-Class), and the Koppen climate classification systems (K-Class) are discussed. Within each parameter sensitivity-based classification system (S-Class) with similar parameter sensitivity characteristics, similar inversion modeling setups can be used for parameter calibration, and the parameters and their contribution or significance to water and energy cycling may also be more transferrable. This classification study provides guidance on identifiable parameters, and on parameterization and inverse model design for CLM but the methodology is applicable to other models. A set of experiments of model calibration were conducted to evaluate the transferability of model calibration strategies and parameter values within and between the classes. It was demonstrated that inverting parameters at representative sites belonging to the same class can significantly reduce parameter calibration efforts.",10.1016/j.jhydrol.2016.02.042,https://dx.doi.org/10.1016/j.jhydrol.2016.02.042
